UCONNCrossID,CrossNum.,Crosses,FG,MG,Category,"CrossingDate(Oct.6,7,8)",Crosser,CrossStatus,Notes,Check 11/2-5,Healthheck 11/2-5,Check 10/26 (1-192) 10/27(194- ),Health 10/26,Check 10/19-20,Health 10/19-20,Painting Date,SP number per 1 ml estimation on paint day,,Media Change 1,Media Change 2,Media Change 3?,Post-paint  development,Post-paint  density,Comments
GOM001,1,SA18-CB-10-FG6xSL18-JS-6-MG1,SA18-CB-10-FG6,SL18-JS-6-MG1,Top160,6,Scott,Y,,SP_100,,GP/EmbrSP,,GP,,11/5/2020,19,,11/19/2020,12/3/2020,12/17/2020,LSP,MD,
GOM003,3,SA18-CB-10-FG6xSL18-OI-15-MG2,SA18-CB-10-FG6,SL18-OI-15-MG2,Top160,6,Scott,Y,,Painted,,SP_100,,GP,,10/28/2020,19,,11/10/2020,11/24/2020,12/8/2020,SP,LD,
GOM004,4,SA18-CB-10-FG6xSL18-NC-2-MG1,SA18-CB-10-FG6,SL18-NC-2-MG1,Top160,6,Scott,Y,,Painted,,SP_100,,GP,,10/28/2020,106,,11/10/2020,11/24/2020,12/8/2020,SP,LD,
GOM005,5,SA18-CB-10-FG6xSL18-NC-2-MG3,SA18-CB-10-FG6,SL18-NC-2-MG3,Top160,6,Scott,Y,,Painted,,SP_300,,EmbrSP,,10/26/2020,103,,11/10/2020,11/24/2020,12/8/2020,SP,LD,
GOM006,6,SA18-CB-1-FG2xSL18-JS-19-MG1,SA18-CB-1-FG2,SL18-JS-19-MG1,Top160,8,Michael,Y,,Painted,,SP_100,,EmbrSP,,10/28/2020,28,,11/10/2020,11/24/2020,12/8/2020,SP,MD,
GOM007,7,SA18-CB-1-FG2xSL18-SF-13-MG1,SA18-CB-1-FG2,SL18-SF-13-MG1,Top160,8,Michael,Y,,SP_100,,GP/EmbrSP,,GP,,11/5/2020,35,,11/19/2020,12/3/2020,12/17/2020,SP,HD,
GOM008,8,SA18-CB-1-FG2xSL18-OI-4-MG1,SA18-CB-1-FG2,SL18-OI-4-MG1,Top160,8,Michael,Y,low biomass FG:MG=1:1,Painted,,Painted,,SP_300,not healthy,10/19/2020,12,,10/30/2020,11/6/2020,11/13/2020,SP,MD,
GOM009,9,SA18-CB-1-FG2xSL18-LD-1-MG1,SA18-CB-1-FG2,SL18-LD-1-MG1,Top160,8,Michael,Y,low biomass FG:MG=1:1,SP_100,"not healthy, bacteria",EmbrSP,,GP,not healthy,11/2/2020,21,,11/16/2020,11/30/2020,12/14/2020,SP,MD,
GOM010,10,SA18-CB-2-FG3xSL18-JS-19-MG1,SA18-CB-2-FG3,SL18-JS-19-MG1,Top160,6,Scott,Y,,Painted,,SP_100,,EmbrSP,,10/28/2020,64,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM011,11,SA18-CB-4-FG6xSL18-OI-15-MG2,SA18-CB-4-FG6,SL18-OI-15-MG2,Top160,6,Scott,Y,,Painted,,SP_100,,GP,,10/28/2020,82,,11/10/2020,11/24/2020,12/8/2020,SP,MD,
