"","Name","Year","plotNo","Region","plotNo_Numeric","femaPar","femaParLoc","malePar","maleParLoc","Crosses","CrossLoc","line","position","block","PhotoScore","Ash"
"88","SL18-UCONN-S1","2019","2019_1","GOM","1","SA18-CB-10-FG1","CB","SL18-SF-19-MG2","SF","SA18-CB-10-FG1xSL18-SF-19-MG2","CB X SF",2,37,7,3,47.2
"32","SL19-UCONN-S53","2020","2020_53","GOM","53","SA18-CB-2-FG3","CB","SL18-CC-2-MG5","CC","SA18-CB-2-FG3xSL18-CC-2-MG5","CB X CC",1,58,10,3,40.71
"316","SL19-UCONN-S147","2020","2020_147","GOM","147","SA18-CB-2-FG3","CB","SL18-NC-9-MG1","NC","SA18-CB-2-FG3xSL18-NC-9-MG1","CB X NC",3,33,6,3,44.42
"201","SL18-UCONN-S3","2019","2019_3","GOM","3","SA18-CB-4-FG3","CB","SA18-CB-4-MG3","CB","SA18-CB-4-FG3xSA18-CB-4-MG3","CB X CB",1,51,9,3,51.65
"38","SL19-UCONN-S279","2020","2020_279","GOM","279","SA18-CB-4-FG6","CB","SL18-JS-6-MG3","JS","SA18-CB-4-FG6xSL18-JS-6-MG3","CB X JS",5,49,9,3,39.57
"3","SL18-UCONN-S5","2019","2019_5","GOM","5","SA18-CB-7-FG1","CB","SL18-LL-9-MG3","LL","SA18-CB-7-FG1xSL18-LL-9-MG3","CB X LL",2,38,7,3,51.09
"421","SL19-UCONN-S248","2020","2020_248","GOM","248","SA18-CB-9-FG1","CB","SL18-JS-19-MG1","JS","SA18-CB-9-FG1xSL18-JS-19-MG1","CB X JS",5,16,3,3,43.67
"27","SL19-UCONN-S135","2020","2020_135","GOM","135","SA18-CB-9-FG1","CB","SL18-JS-5-MG3","JS","SA18-CB-9-FG1xSL18-JS-5-MG3","CB X JS",3,20,4,2,37.63
"571","SL19-UCONN-S56","2020","2020_56","GOM","56","SA18-CB-9-FG1","CB","SL18-OI-7-MG3","OI","SA18-CB-9-FG1xSL18-OI-7-MG3","CB X OI",1,62,11,3,32.8
"413","SL19-UCONN-S240","2020","2020_240","GOM","240","SL18-CC-1-FG1","CC","SL18-NC-15-MG3","NC","SL18-CC-1-FG1xSL18-NC-15-MG3","CC X NC",5,8,2,3,43.49
"12","SL19-UCONN-S162","2020","2020_162","GOM","162","SL18-CC-1-FG1","CC","SL18-OI-16-MG3","OI","SL18-CC-1-FG1xSL18-OI-16-MG3","CC X OI",3,49,9,3,41.49
"326","SL19-UCONN-S157","2020","2020_157","GOM","157","SL18-CC-1-FG2","CC","SL18-OI-16-MG3","OI","SL18-CC-1-FG2xSL18-OI-16-MG3","CC X OI",3,43,8,2,42.13
"608","SL19-UCONN-S90","2020","2020_90","GOM","90","SL18-CC-10-FG4","CC","SL18-NC-2-MG2","NC","SL18-CC-10-FG4xSL18-NC-2-MG2","CC X NC",2,36,6,3,39.99
"15","SL19-UCONN-S121","2020","2020_121","GOM","121","SL18-CC-11-FG3","CC","SA18-CB-3-MG3","CB","SL18-CC-11-FG3xSA18-CB-3-MG3","CC X CB",3,5,1,3,42.79
"24","SL19-UCONN-S12","2020","2020_12","GOM","12","SL18-CC-11-FG3","CC","SL18-CC-3-MG1","CC","SL18-CC-11-FG3xSL18-CC-3-MG1","CC X CC",1,13,3,2,40.75
"356","SL19-UCONN-S189","2020","2020_189","GOM","189","SL18-CC-11-FG3","CC","SL18-NC-2-MG3","NC","SL18-CC-11-FG3xSL18-NC-2-MG3","CC X NC",4,17,3,3,46.26
"593","SL19-UCONN-S77","2020","2020_77","GOM","77","SL18-CC-12-FG2","CC","SL18-LL-9-MG4","LL","SL18-CC-12-FG2xSL18-LL-9-MG4","CC X LL",2,22,4,3,50.9
"358","SL19-UCONN-S190","2020","2020_190","GOM","190","SL18-CC-12-FG2","CC","SL18-OI-15-MG2","OI","SL18-CC-12-FG2xSL18-OI-15-MG2","CC X OI",4,18,3,3,40.61
"458","SL19-UCONN-S283","2020","2020_283","GOM","283","SL18-CC-3-FG1","CC","SL18-JS-11-MG2","JS","SL18-CC-3-FG1xSL18-JS-11-MG2","CC X JS",5,54,9,2,29.37
"346","SL19-UCONN-S179","2020","2020_179","GOM","179","SL18-CC-3-FG1","CC","SL18-JS-5-MG2","JS","SL18-CC-3-FG1xSL18-JS-5-MG2","CC X JS",4,6,1,3,45.31
"322","SL19-UCONN-S152","2020","2020_152","GOM","152","SL18-CC-3-FG1","CC","SL18-JS-6-MG3","JS","SL18-CC-3-FG1xSL18-JS-6-MG3","CC X JS",3,38,7,3,42.72
"23","SL19-UCONN-S160","2020","2020_160","GOM","160","SL18-CC-3-FG2","CC","SA18-CB-10-MG3","CB","SL18-CC-3-FG2xSA18-CB-10-MG3","CC X CB",3,47,8,3,42.6
"348","SL19-UCONN-S180","2020","2020_180","GOM","180","SL18-CC-3-FG2","CC","SL18-OD-6-MG1","OD","SL18-CC-3-FG2xSL18-OD-6-MG1","CC X OD",4,8,2,3,42.33
"286","SL19-UCONN-S113","2020","2020_113","GOM","113","SL18-CC-5-FG2","CC","SA18-CB-10-MG1","CB","SL18-CC-5-FG2xSA18-CB-10-MG1","CC X CB",2,60,10,3,38.97
