"","x"
"1","SL18-OI-15-FG1xSA18-CB-2-MG3"
"2","SL18-LD-13-FG2xSL18-LD-13-MG2"
"3","SL18-LD-2-FG2xSL18-SF-19-MG1"
"4","SL18-NL-2-FG3xSA18-CB-4-MG1"
"5","SL18-NL-3-FG1xSA18-CB-7-MG2"
"6","SL18-OI-11-FG3xSL18-CC-1-MG3"
"7","SL18-JS-16-FG3xSL18-NC-10-MG3"
"8","SL18-OI-5-FG5xSA18-CB-7-MG3"
"9","SL18-CC-1-FG2xSL18-OI-16-MG1"
"10","SL18-NC-11-FG1xSL18-NL-2-MG1"
"11","SL18-CC-5-FG2xSA18-CB-10-MG1"
"12","SL18-CC-5-FG3xSL18-OI-14-MG1"
"13","SL18-CC-11-FG3xSL18-CC-3-MG1"
"14","SL18-CC-11-FG3xSA18-CB-3-MG3"
"15","SL18-JS-16-FG1xSL18-CC-4-MG11"
"16","SL18-CC-11-FG3xSL18-JS-16-MG1"
"17","SL18-NC-12-FG2xSA18-CB-4-MG3"
"18","SL18-OD-5-FG1xSL18-CC-8-MG2"
"19","SL18-CC-1-FG3xSL18-OI-9-MG2"
"20","SA18-CB-9-FG1xSL18-JS-5-MG3"
"21","SL18-CC-5-FG1xSL18-JS-9-MG1"
"22","SL18-CC-12-FG3xSL18-OI-15-MG2"
"23","SL18-SF-17-FG2xSL18-NC-1-MG1"
"24","SL18-JS-5-FG1xSL18-LD-2-MG4"
"25","SL18-OD-5-FG3xSA18-CB-1-MG12"
"26","SL18-CC-5-FG3xSL18-JS-5-MG2"
"27","SL18-SF-13-FG1xSA18-CB-7-MG1"
"28","SL18-LL-9-FG6xSA18-CB-10-MG3"
"29","SL18-OI-15-FG2xSA18-CB-2-MG3"
"30","SA18-CB-2-FG3xSL18-NC-9-MG1"
"31","SA18-CB-5-FG4xSL18-CC-1-MG3"
"32","SL18-CC-3-FG1xSL18-JS-6-MG3"
"33","SL18-JS-16-FG1xSL18-LD-2-MG2"
"34","SL18-NC-10-FG1xSL18-NC-5-MG1"
"35","SL18-OI-17-FG4xSL18-JS-6-MG2"
"36","SL18-CC-1-FG2xSL18-OI-16-MG3"
"37","SA18-CB-2-FG3xSL18-OI-2-MG2"
"38","SL18-CC-5-FG3xSL18-JS-19-MG2"
"39","SL18-CC-3-FG2xSA18-CB-10-MG3"
"40","SL18-CC-1-FG1xSL18-OI-16-MG3"
"41","SL18-JS-16-FG3xSL18-OD-6-MG2"
"42","SL18-OI-4-FG2xSL18-NC-15-MG1"
"43","SL18-NC-12-FG2xSL18-OI-16-MG1"
"44","SL18-CC-8-FG2xSL18-JS-5-MG3"
"45","SL18-OI-4-FG2xSL18-JS-19-MG2"
"46","SL18-OI-6-FG2xSA18-CB-4-MG2"
