,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
2019_1,5.046442661,-3.590344309,0.186921625,247.5623338,SA18-CB-10-FG1xSL18-SF-19-MG2,-29.10508655,-28.11749415,8.796430122,20.75112421,-45.965812
2019_10,-0.855176134,-0.236273928,-0.019039785,-49.00493491,SL18-LD-10-FG1xSL18-OI-4-MG1,160.4155644,44.55598907,-17.04995572,2.177152211,50.20051356
2019_100,-1.528305994,1.042059394,-0.100391344,-249.0260688,SL18-NL-6-FG1xSL18-OI-11-MG2,99.77401542,26.68321485,23.63086441,97.10364526,17.94654135
2019_101,3.018121805,0.050216843,0.256541386,90.78708677,SL18-NL-6-FG1xSL18-OI-14-MG2,-55.66787684,-27.64924115,5.924966408,-2.958940365,95.529391
2019_102,3.007645915,-0.226263894,0.257236554,429.9799462,SL18-NL-6-FG1xSL18-OI-15-MG1,40.71084041,6.24446921,8.588158174,-29.02285198,51.49649918
2019_103,1.775055045,0.230158067,0.130261175,317.7711487,SL18-NL-6-FG1xSL18-OI-16-MG1,-179.6350465,-3.991807663,0.167729135,15.92596982,16.57414097
2019_104,3.270757147,0.17011791,0.202595208,-14.15966953,SL18-NL-6-FG1xSL18-SF-17-MG1,21.31503915,15.61088812,-12.70294652,28.08597766,66.1088566
2019_105,2.429336675,-3.622369897,0.051409289,362.5119222,SL18-NL-6-FG1xSL18-SF-19-MG2,91.63180668,39.95810783,13.14224746,-14.54813786,168.1988933
2019_11,1.613962686,-1.168169696,0.149335613,125.4807877,SL18-LD-10-FG2xSA18-CB-7-MG2,3.39429411,27.19328779,17.55443294,-56.60477618,44.64584303
2019_12,-2.154572271,2.532747289,-0.135968045,17.59556754,SL18-LD-10-FG2xSL18-NL-3-MG2,-155.8789457,7.546992929,-2.959533347,-22.50276951,-130.9872688
2019_120,2.759372158,-5.262252375,-0.001560391,141.1792878,SL18-NL-9-FG2xSA18-CB-7-MG1,NA,NA,NA,NA,NA
2019_121,0.274157118,0.051675102,0.049325695,343.1858303,SL18-NL-9-FG2xSL18-SF-19-MG1,-36.03432064,-62.19663451,-0.244252683,6.736526033,-109.4229818
2019_124,1.321543239,-3.771499218,0.004428064,61.67149074,SL18-OI-11-FG1xSL18-SF-15-MG2,-24.33875121,-27.10040863,3.937229683,10.75612149,113.3379792
2019_125,2.214127629,0.800840073,0.121173208,-254.1097058,SL18-OI-15-FG1xSA18-CB-2-MG3,11.858246,57.92313822,-6.284144672,58.59327759,-21.55078939
2019_127,-0.91341781,0.191339294,-0.113361752,-39.9876642,SL18-OI-15-FG1xSL18-NL-5-MG1,-196.7229317,-28.97496967,24.59992208,91.26620049,6.25504196
2019_128,2.657176695,0.091254576,0.216707473,105.0526502,SL18-OI-15-FG1xSL18-SF-15-MG1,-17.48427386,-22.23903836,-13.36567969,-36.97275472,117.7181544
2019_136,2.356252225,-0.380140476,0.166509908,233.6813021,SL18-OI-16-FG3xSA18-CB-4-MG3,-141.6930707,-67.20312958,-3.490047793,47.47002992,-109.6328151
2019_137,-2.13808011,3.117087441,-0.155288117,-108.7685766,SL18-OI-16-FG3xSA18-CB-5-MG3,-175.3083963,28.69961407,-13.83131567,-87.56311382,-148.646462
2019_14,1.068789757,-0.090056104,0.088927441,172.5514157,SL18-LD-13-FG2xSL18-LD-13-MG2,84.84612814,-20.67654492,-4.074560607,-18.48132511,67.28990873
2019_140,-0.384759384,-1.087400674,-0.034214663,-49.9152439,SL18-OI-16-FG3xSL18-LD-3-MG2,-2.189420704,51.50481315,-25.91965087,-32.06112551,-41.04008009
2019_141,-0.667769879,0.211356237,-0.018322066,-109.4332616,SL18-OI-16-FG3xSL18-NL-6-MG1,196.6485714,-49.23309803,-3.926898368,-63.39120578,-77.02399629
2019_142,2.234719157,-0.069882874,0.111987321,380.8324794,SL18-OI-16-FG3xSL18-SF-17-MG2,34.92502639,-66.34628964,15.46068543,41.82040567,0.223049099
2019_143,3.160940884,-1.25754194,0.19175491,195.5532906,SL18-OI-17-FG1xSL18-SF-13-MG2,20.62208813,17.63114287,0.207804841,-47.44002194,58.30482211
2019_145,-2.276279663,-0.820506105,-0.197771389,-219.9758339,SL18-OI-17-FG2xSL18-SF-17-MG2,113.7526175,4.086829573,-22.90395157,-31.15334342,74.58294223
2019_146,1.578108017,-1.140306382,0.103099085,30.6216148,SL18-OI-18-FG1xSL18-OI-9-MG3,-107.7634101,-9.665183061,12.76829075,59.40457572,-52.36384422
2019_147,0.209553612,0.653647046,0.097671001,-102.6937986,SL18-OI-18-FG2xSA18-CB-7-MG1,-114.3060615,53.38912568,22.59817767,90.28726679,-100.8126314
2019_148,1.00514067,-0.786825794,0.084953761,53.75508654,SL18-OI-18-FG2xSL18-LD-10-MG1,-176.6712863,14.73483321,1.581965241,7.553644378,76.64613494
2019_149,-0.780343776,1.682040036,0.033041973,-32.76199191,SL18-OI-18-FG2xSL18-LD-9-MG1,-138.4769292,-51.56082684,10.36292387,-93.2405626,10.14661734
2019_150,-0.444656885,-0.196661108,-0.020990947,36.89869351,SL18-OI-18-FG2xSL18-NL-2-MG2,-97.19388585,-35.50187579,-4.399518193,-91.88348393,-82.05973729
2019_151,-1.914207585,0.221364709,-0.145608874,-170.3026749,SL18-OI-18-FG2xSL18-LD-2-MG3,30.12383534,-13.61208872,-23.93345434,45.1913257,-76.20006851
2019_152,-1.462865291,1.282262717,-0.113361752,-205.7480235,SL18-OI-18-FG3xSL18-LL-9-MG1,113.662593,-58.80552265,-19.09633656,-22.47857786,24.78595792
2019_153,0.181358166,0.461024919,0.0337175,-63.03615979,SL18-OI-18-FG3xSL18-OI-7-MG1,12.248106,-48.70635921,5.887147541,0.489631151,-22.59790482
2019_154,-1.674784999,4.625472652,-0.054276225,-155.3086303,SL18-OI-18-FG5xSA18-CB-4-MG3,-83.13764297,71.58127897,-2.373055072,-59.35496546,-101.6942237
