Indiv,Sex,AshFDWpM,oc_using_AshFDWpM,Rank_first_AshFDWpM_then_oc,DWpM,oc_using_DWpM,Rank_DWpM_then_oc,AshOnly,WWP,PDW
SL18-OI-6-FG2,female,0.399022225,0.02624583,1,0.408099709,0.028144161,1,-1.111059422,0.974660108,0.562381131
SL18-CC-12-FG2,female,0.307246059,0.024746255,3,0.344428801,0.026868425,2,0.989338968,1.092519778,-0.055687195
SL18-CC-11-FG3,female,0.075873409,0.003481323,40,0.295504919,0.014985739,3,0.651268621,0.958642323,-0.249171749
SL18-SF-13-FG2,female,0.118368458,0.008713429,26,0.279082035,0.020109304,4,0.118311562,0.979987228,-0.07682314
SL18-OI-11-FG3,female,0.195451528,0.015937058,15,0.239969464,0.018218122,5,0.548162907,0.775742482,-0.18865677
SL18-OI-4-FG2,female,0.224110088,0.01614353,8,0.222110584,0.018585035,6,0.529792351,0.503411649,0.324542023
SL18-OI-6-FG3,female,0.246166101,0.005861419,5,0.216129889,0.003914502,7,-0.913015555,0.408514726,1.082407084
SA18-CB-9-FG1,female,0.099810569,0.012411121,31,0.188286433,0.021655412,8,-0.18622475,0.487078119,0.117815519
SA18-CB-7-FG3,female,0.240174251,0.001302671,6,0.184471371,7.67E-05,9,-0.046575351,0.478891674,-0.01938201
SL18-CC-5-FG2,female,0.320573024,0.023231982,2,0.176052854,0.010238194,10,0.540841003,0.546377045,-0.11641183
SL18-CC-3-FG2,female,0.234180073,0.022397178,7,0.173578227,0.014157367,11,0.280023366,0.403596897,0.103559066
SL18-OD-10-FG2,female,0.093320283,0.004570094,38,0.163221979,0.003582567,12,-0.02841937,0.60714734,-0.071506478
SA18-CB-10-FG1,female,0.198720231,0.00121495,14,0.159372209,0.002883293,13,-0.242804956,0.499206269,-0.180206196
SL18-OI-6-FG6,female,0.20854623,0.001283574,9,0.157314419,1.01E-07,14,-0.921796151,0.346997723,0.508291208
SL18-JS-6-FG2,female,0.153694144,0.001486541,18,0.154647202,0.001574205,15,0.086249496,0.295620784,0.557620239
SA18-CB-7-FG1,female,0.200953038,0.000171463,11,0.149647174,9.15E-07,16,0.091019593,0.435505851,0.024218026
SA18-CB-10-FG6,female,0.19973698,0.00050473,12,0.143656811,0.000857447,17,-0.212900183,0.333401922,-0.08855068
