"","Indiv","Sire","Dam","Sex","Breed","Born"
"1","animal1",NA,NA,"male","Angler",NA
"2","animal2",NA,NA,"male","Angler",NA
"3","animal3",NA,NA,"male","Angler",NA
"4","animal4",NA,NA,"male","Angler",NA
"5","animal5",NA,NA,"male","Angler",NA
"6","animal6",NA,NA,"male","Angler",NA
"7","animal7",NA,NA,"male","Angler",NA
"8","animal8",NA,NA,"male","Angler",NA
"9","animal9",NA,NA,"male","Angler",NA
"10","animal10",NA,NA,"male","Angler",NA
"11","animal11",NA,NA,"male","Angler",NA
"12","animal12",NA,NA,"male","Angler",NA
"13","animal13",NA,NA,"male","Angler",NA
"14","animal14",NA,NA,"male","Angler",NA
"15","animal15",NA,NA,"female","Angler",NA
"16","animal16",NA,NA,"female","Angler",NA
"17","animal17",NA,NA,"female","Angler",NA
"18","animal18",NA,NA,"female","Angler",NA
"19","animal19",NA,NA,"female","Angler",NA
"20","animal20",NA,NA,"female","Angler",NA
"21","animal21",NA,NA,"female","Angler",NA
"22","animal22",NA,NA,"female","Angler",NA
"23","animal23",NA,NA,"female","Angler",NA
"24","animal24",NA,NA,"female","Angler",NA
"25","animal25",NA,NA,"female","Angler",NA
"26","animal26",NA,NA,"female","Angler",NA
"27","animal27",NA,NA,"female","Angler",NA
"28","animal28",NA,NA,"female","Angler",NA
"29","animal29",NA,NA,"female","Angler",NA
"30","animal30",NA,NA,"female","Angler",NA
"31","animal31",NA,NA,"female","Angler",NA
"32","animal32",NA,NA,"female","Angler",NA
"33","animal33",NA,NA,"female","Angler",NA
"34","animal34",NA,NA,"female","Angler",NA
"35","animal35",NA,NA,"female","Angler",NA
"36","animal36",NA,NA,"female","Angler",NA
"37","animal37",NA,NA,"female","Angler",NA
"38","animal38",NA,NA,"female","Angler",NA
"39","animal39",NA,NA,"female","Angler",NA
"40","animal40",NA,NA,"female","Angler",NA
"41","animal41",NA,NA,"female","Angler",NA
"42","animal42",NA,NA,"female","Angler",NA
"43","animal43",NA,NA,"female","Angler",NA
"44","animal44",NA,NA,"female","Angler",NA
"45","animal45",NA,NA,"female","Angler",NA
"46","animal46",NA,NA,"female","Angler",NA
"47","animal47",NA,NA,"female","Angler",NA
"48","animal48",NA,NA,"female","Angler",NA
"49","animal49",NA,NA,"female","Angler",NA
"50","animal50",NA,NA,"female","Angler",NA
"51","animal51",NA,NA,"female","Angler",NA
"52","animal52",NA,NA,"female","Angler",NA
"53","animal53",NA,NA,"female","Angler",NA
"54","animal54",NA,NA,"female","Angler",NA
"55","animal55",NA,NA,"female","Angler",NA
"56","animal56",NA,NA,"female","Angler",NA
"57","animal57",NA,NA,"female","Angler",NA
"58","animal58",NA,NA,"female","Angler",NA
"59","animal59",NA,NA,"female","Angler",NA
"60","animal60",NA,NA,"female","Angler",NA
"61","animal61",NA,NA,"female","Angler",NA
"62","animal62",NA,NA,"female","Angler",NA
"63","animal63",NA,NA,"female","Angler",NA
"64","animal64",NA,NA,"female","Angler",NA
"65","animal65",NA,NA,"female","Angler",NA
"66","animal66",NA,NA,"female","Angler",NA
"67","animal67",NA,NA,"female","Angler",NA
"68","animal68",NA,NA,"female","Angler",NA
"69","animal69",NA,NA,"female","Angler",NA
"70","animal70",NA,NA,"female","Angler",NA
"71","animal71",NA,NA,"female","Angler",NA
"72","animal72",NA,NA,"female","Angler",NA
"73","animal73",NA,NA,"female","Angler",NA
"74","animal74",NA,NA,"female","Angler",NA
"75","animal75",NA,NA,"female","Angler",NA
"76","animal76",NA,NA,"female","Angler",NA
"77","animal77",NA,NA,"female","Angler",NA
"78","animal78",NA,NA,"female","Angler",NA
"79","animal79",NA,NA,"female","Angler",NA
"80","animal80",NA,NA,"female","Angler",NA
"81","animal81",NA,NA,"female","Angler",NA
"82","animal82",NA,NA,"female","Angler",NA
"83","animal83",NA,NA,"female","Angler",NA
"84","animal84",NA,NA,"female","Angler",NA
"85","animal85",NA,NA,"female","Angler",NA
"86","animal86",NA,NA,"female","Angler",NA
"87","animal87",NA,NA,"male","Angler",NA
"88","animal88",NA,NA,"female","Fleckvieh",NA
"89","animal89",NA,NA,"female","Angler",NA
"90","animal90",NA,NA,"female","Angler",NA
"91","animal91",NA,NA,"female","Angler",NA
"92","animal92",NA,NA,"female","Angler",NA
"93","animal93",NA,NA,"female","Angler",NA
"94","animal94",NA,NA,"female","Angler",NA
"95","animal95",NA,NA,"female","Holstein",NA
"96","animal96",NA,NA,"male","Angler",NA
"97","animal97",NA,NA,"female","Angler",NA
"98","animal98",NA,NA,"female","Holstein",NA
"99","animal99",NA,NA,"female","Holstein",NA
"100","animal100",NA,NA,"male","Angler",NA
"101","animal101",NA,NA,"female","Angler",NA
"102","animal102",NA,NA,"female","Holstein",NA
"103","animal103",NA,NA,"female","Angler",NA
"104","animal104",NA,NA,"female","Angler",NA
"105","animal105",NA,NA,"female","Angler",NA
"106","animal106",NA,NA,"female","Holstein",NA
"107","animal107",NA,NA,"female","Angler",NA
"108","animal108",NA,NA,"female","Angler",NA
"109","animal109",NA,NA,"female","Rbt",NA
"110","animal110",NA,NA,"female","Angler",NA
"111","animal111",NA,NA,"male","Angler",NA
"112","animal112",NA,NA,"female","Angler",NA
"113","animal113",NA,NA,"female","Holstein",NA
"114","animal114",NA,NA,"female","Dt.Sbt.Niederungsrind",NA
"115","animal115",NA,NA,"female","Holstein",NA
"116","animal116",NA,NA,"female","Holstein",NA
"117","animal117",NA,NA,"female","Ayrshire",NA
"118","animal118",NA,NA,"female","Holstein",NA
"119","animal119",NA,NA,"female","Holstein",NA
"120","animal120",NA,NA,"male","Angler",NA
"121","animal121",NA,NA,"female","Holstein",NA
"122","animal122",NA,NA,"female","Holstein",NA
"123","animal123",NA,NA,"female","Angler",NA
"124","animal124",NA,NA,"female","Holstein",NA
"125","animal125",NA,NA,"female","Holstein",NA
"126","animal126",NA,NA,"male","Holstein",NA
"127","animal127",NA,NA,"female","Angler",NA
"128","animal128",NA,NA,"male","Holstein",NA
"129","animal129",NA,NA,"male","Holstein",NA
"130","animal130",NA,NA,"female","Holstein",NA
"131","animal131",NA,NA,"male","Holstein",NA
"132","animal132",NA,NA,"male","Holstein",NA
"133","animal133",NA,NA,"female","Angler",NA
"134","animal134",NA,NA,"female","Angler",NA
"135","animal135",NA,NA,"female","Angler",NA
"136","animal136",NA,NA,"female","Holstein",NA
"137","animal137",NA,NA,"female","Angler",NA
"138","animal138",NA,NA,"female","Angler",NA
"139","animal139",NA,NA,"male","Sonstige",NA
"140","animal140",NA,NA,"female","Angler",NA
"141","animal141",NA,NA,"female","Angler",NA
"142","animal142",NA,NA,"female","Angler",NA
"143","animal143",NA,NA,"female","Angler",NA
"144","animal144",NA,NA,"female","Angler",NA
"145","animal145",NA,NA,"male","Sonstige",NA
"146","animal146",NA,NA,"female","Dt.Sbt.Niederungsrind",NA
"147","animal147",NA,NA,"female","Angler",NA
"148","animal148",NA,NA,"female","Holstein",NA
"149","animal149",NA,NA,"female","Ayrshire",NA
"150","animal150",NA,NA,"female","Holstein",NA
"151","animal151",NA,NA,"female","Holstein",NA
"152","animal152",NA,NA,"female","Angler",NA
"153","animal153",NA,NA,"female","Angler",NA
"154","animal154",NA,NA,"female","Angler",NA
"155","animal155",NA,NA,"female","Angler",NA
"156","animal156",NA,NA,"female","Holstein",1933
"157","animal157",NA,NA,"male","Holstein",1936
"158","animal158",NA,NA,"male","Rbt",1936
"159","animal159",NA,NA,"male","Dt.Sbt.Niederungsrind",1937
"160","animal160",NA,NA,"male","Holstein",1938
"161","animal161",NA,NA,"male","Holstein",1939
"162","animal162",NA,NA,"female","Angler",1939
"163","animal163",NA,NA,"female","Holstein",1939
"164","animal164",NA,NA,"female","Holstein",1940
"165","animal165",NA,NA,"female","Dt.Sbt.Niederungsrind",1940
"166","animal166",NA,NA,"male","Holstein",1940
"167","animal167",NA,NA,"male","Holstein",1940
"168","animal168",NA,NA,"male","Dt.Sbt.Niederungsrind",1940
"169","animal169",NA,NA,"male","Holstein",1941
"170","animal170",NA,NA,"female","Holstein",1941
"171","animal171",NA,NA,"female","Angler",1941
"172","animal172",NA,NA,"female","Holstein",1941
"173","animal173",NA,NA,"male","Holstein",1942
"174","animal174",NA,NA,"female","Holstein",1942
"175","animal175",NA,NA,"female","Holstein",1942
"176","animal176",NA,NA,"male","Holstein",1942
"177","animal177",NA,NA,"male","Holstein",1942
"178","animal178",NA,NA,"male","Holstein",1942
"179","animal179",NA,NA,"male","Dt.Sbt.Niederungsrind",1943
"180","animal180",NA,NA,"female","Holstein",1943
"181","animal181",NA,NA,"female","Dt.Sbt.Niederungsrind",1943
"182","animal182",NA,NA,"male","Holstein",1943
"183","animal183",NA,NA,"male","Holstein",1943
"184","animal184",NA,NA,"male","Dt.Sbt.Niederungsrind",1943
"185","animal185",NA,NA,"female","Pedigree-error",1943
"186","animal186",NA,NA,"male","Holstein",1943
"187","animal187",NA,NA,"female","Dt.Sbt.Niederungsrind",1944
"188","animal188",NA,NA,"male","Holstein",1944
"189","animal189",NA,NA,"female","Holstein",1944
"190","animal190",NA,NA,"male","Holstein",1944
"191","animal191",NA,NA,"male","Pedigree-error",1944
"192","animal192",NA,NA,"male","Pedigree-error",1944
"193","animal193",NA,NA,"female","Holstein",1944
"194","animal194",NA,NA,"male","Dt.Sbt.Niederungsrind",1944
"195","animal195",NA,NA,"male","Dt.Sbt.Niederungsrind",1945
"196","animal196",NA,NA,"female","Holstein",1945
"197","animal197",NA,NA,"female","Holstein",1945
"198","animal198",NA,NA,"female","Holstein",1945
"199","animal199",NA,NA,"male","Braunvieh",1945
"200","animal200",NA,NA,"male","Holstein",1945
"201","animal201",NA,NA,"female","Dt.Sbt.Niederungsrind",1945
"202","animal202",NA,NA,"female","Holstein",1945
"203","animal203",NA,NA,"male","Holstein",1945
"204","animal204",NA,NA,"male","Holstein",1945
"205","animal205",NA,NA,"female","Holstein",1945
