"","Indiv","Sire","Dam","Sex","Breed","Born","I","Offspring"
"SL18-OI-4","SL18-OI-4",NA,NA,"male",NA,NA,NA,TRUE
"SL18-OI-5","SL18-OI-5",NA,NA,"male",NA,NA,NA,TRUE
"SL18-OI-6","SL18-OI-6",NA,NA,"male",NA,NA,NA,TRUE
"SL18-OI-11","SL18-OI-11",NA,NA,"male",NA,NA,NA,TRUE
"SL18-OI-15","SL18-OI-15",NA,NA,"male",NA,NA,NA,TRUE
"SL18-OI-16","SL18-OI-16",NA,NA,"male",NA,NA,NA,TRUE
"SL18-OI-17","SL18-OI-17",NA,NA,"male",NA,NA,NA,TRUE
"SL18-OI-18","SL18-OI-18",NA,NA,"male",NA,NA,NA,TRUE
"SL18-LD-1","SL18-LD-1",NA,NA,"male",NA,NA,NA,TRUE
"SL18-LD-3","SL18-LD-3",NA,NA,"male",NA,NA,NA,TRUE
"SL18-LD-4","SL18-LD-4",NA,NA,"male",NA,NA,NA,TRUE
"SL18-LD-5","SL18-LD-5",NA,NA,"male",NA,NA,NA,TRUE
"SL18-LD-9","SL18-LD-9",NA,NA,"male",NA,NA,NA,TRUE
"SL18-LD-10","SL18-LD-10",NA,NA,"male",NA,NA,NA,TRUE
"SL18-LD-13","SL18-LD-13",NA,NA,"male",NA,NA,NA,TRUE
"SL18-FW-2","SL18-FW-2",NA,NA,"male",NA,NA,NA,TRUE
"SL18-FI-1","SL18-FI-1",NA,NA,"male",NA,NA,NA,TRUE
"SL18-FI-2","SL18-FI-2",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-1","SL18-CC-1",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-2","SL18-CC-2",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-3","SL18-CC-3",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-4","SL18-CC-4",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-5","SL18-CC-5",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-6","SL18-CC-6",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-7","SL18-CC-7",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-8","SL18-CC-8",NA,NA,"male",NA,NA,NA,TRUE
"SL18-CC-9","SL18-CC-9",NA,NA,"male",NA,NA,NA,TRUE
