"","Indiv","Sire","Dam","Sex","Breed","Born","I","Offspring"
"1","animal1",NA,NA,"male","Angler",NA,NA,TRUE
"2","animal2",NA,NA,"male","Angler",NA,NA,TRUE
"3","animal3",NA,NA,"male","Angler",NA,NA,TRUE
"4","animal4",NA,NA,"male","Angler",NA,NA,TRUE
"5","animal5",NA,NA,"male","Angler",NA,NA,TRUE
"6","animal6",NA,NA,"male","Angler",NA,NA,TRUE
"7","animal7",NA,NA,"male","Angler",NA,NA,TRUE
"8","animal8",NA,NA,"male","Angler",NA,NA,TRUE
"9","animal9",NA,NA,"male","Angler",NA,NA,TRUE
"10","animal10",NA,NA,"male","Angler",NA,NA,TRUE
"11","animal13",NA,NA,"male","Angler",NA,NA,TRUE
"12","animal14",NA,NA,"male","Angler",NA,NA,TRUE
"13","animal15",NA,NA,"female","Angler",NA,NA,TRUE
"14","animal16",NA,NA,"female","Angler",NA,NA,TRUE
"15","animal17",NA,NA,"female","Angler",NA,NA,TRUE
"16","animal19",NA,NA,"female","Angler",NA,NA,TRUE
"17","animal20",NA,NA,"female","Angler",NA,NA,TRUE
"18","animal21",NA,NA,"female","Angler",NA,NA,TRUE
"19","animal22",NA,NA,"female","Angler",NA,NA,TRUE
"20","animal23",NA,NA,"female","Angler",NA,NA,TRUE
"21","animal24",NA,NA,"female","Angler",NA,NA,TRUE
"22","animal25",NA,NA,"female","Angler",NA,NA,TRUE
"23","animal26",NA,NA,"female","Angler",NA,NA,TRUE
"24","animal27",NA,NA,"female","Angler",NA,NA,TRUE
"25","animal29",NA,NA,"female","Angler",NA,NA,TRUE
"26","animal30",NA,NA,"female","Angler",NA,NA,TRUE
"27","animal31",NA,NA,"female","Angler",NA,NA,TRUE
"28","animal32",NA,NA,"female","Angler",NA,NA,TRUE
"29","animal33",NA,NA,"female","Angler",NA,NA,TRUE
"30","animal34",NA,NA,"female","Angler",NA,NA,TRUE
"31","animal35",NA,NA,"female","Angler",NA,NA,TRUE
"32","animal36",NA,NA,"female","Angler",NA,NA,TRUE
"33","animal37",NA,NA,"female","Angler",NA,NA,TRUE
"34","animal38",NA,NA,"female","Angler",NA,NA,TRUE
"35","animal39",NA,NA,"female","Angler",NA,NA,TRUE
"36","animal40",NA,NA,"female","Angler",NA,NA,TRUE
"37","animal41",NA,NA,"female","Angler",NA,NA,TRUE
"38","animal42",NA,NA,"female","Angler",NA,NA,TRUE
"39","animal43",NA,NA,"female","Angler",NA,NA,TRUE
"40","animal46",NA,NA,"female","Angler",NA,NA,TRUE
"41","animal47",NA,NA,"female","Angler",NA,NA,TRUE
"42","animal48",NA,NA,"female","Angler",NA,NA,TRUE
"43","animal49",NA,NA,"female","Angler",NA,NA,TRUE
"44","animal50",NA,NA,"female","Angler",NA,NA,TRUE
"45","animal51",NA,NA,"female","Angler",NA,NA,TRUE
"46","animal52",NA,NA,"female","Angler",NA,NA,TRUE
"47","animal53",NA,NA,"female","Angler",NA,NA,TRUE
"48","animal54",NA,NA,"female","Angler",NA,NA,TRUE
"49","animal55",NA,NA,"female","Angler",NA,NA,TRUE
"50","animal57",NA,NA,"female","Angler",NA,NA,TRUE
"51","animal58",NA,NA,"female","Angler",NA,NA,TRUE
"52","animal59",NA,NA,"female","Angler",NA,NA,TRUE
"53","animal61",NA,NA,"female","Angler",NA,NA,TRUE
"54","animal62",NA,NA,"female","Angler",NA,NA,TRUE
"55","animal63",NA,NA,"female","Angler",NA,NA,TRUE
"56","animal64",NA,NA,"female","Angler",NA,NA,TRUE
"57","animal65",NA,NA,"female","Angler",NA,NA,TRUE
"58","animal66",NA,NA,"female","Angler",NA,NA,TRUE
"59","animal67",NA,NA,"female","Angler",NA,NA,TRUE
"60","animal68",NA,NA,"female","Angler",NA,NA,TRUE
"61","animal69",NA,NA,"female","Angler",NA,NA,TRUE
"62","animal70",NA,NA,"female","Angler",NA,NA,TRUE
"63","animal71",NA,NA,"female","Angler",NA,NA,TRUE
"64","animal72",NA,NA,"female","Angler",NA,NA,TRUE
"65","animal73",NA,NA,"female","Angler",NA,NA,TRUE
"66","animal74",NA,NA,"female","Angler",NA,NA,TRUE
"67","animal76",NA,NA,"female","Angler",NA,NA,TRUE
"68","animal77",NA,NA,"female","Angler",NA,NA,TRUE
"69","animal78",NA,NA,"female","Angler",NA,NA,TRUE
"70","animal79",NA,NA,"female","Angler",NA,NA,TRUE
"71","animal80",NA,NA,"female","Angler",NA,NA,TRUE
"72","animal81",NA,NA,"female","Angler",NA,NA,TRUE
"73","animal82",NA,NA,"female","Angler",NA,NA,TRUE
"74","animal83",NA,NA,"female","Angler",NA,NA,TRUE
"75","animal84",NA,NA,"female","Angler",NA,NA,TRUE
"76","animal85",NA,NA,"female","Angler",NA,NA,TRUE
"77","animal87",NA,NA,"male","Angler",NA,NA,TRUE
"78","animal88",NA,NA,"female","Fleckvieh",NA,NA,TRUE
"79","animal89",NA,NA,"female","Angler",NA,NA,TRUE
"80","animal90",NA,NA,"female","Angler",NA,NA,TRUE
"81","animal91",NA,NA,"female","Angler",NA,NA,TRUE
"82","animal92",NA,NA,"female","Angler",NA,NA,TRUE
"83","animal93",NA,NA,"female","Angler",NA,NA,TRUE
"84","animal94",NA,NA,"female","Angler",NA,NA,TRUE
"85","animal95",NA,NA,"female","Holstein",NA,NA,TRUE
"86","animal96",NA,NA,"male","Angler",NA,NA,TRUE
"87","animal97",NA,NA,"female","Angler",NA,NA,TRUE
"88","animal98",NA,NA,"female","Holstein",NA,NA,TRUE
"89","animal99",NA,NA,"female","Holstein",NA,NA,TRUE
"90","animal100",NA,NA,"male","Angler",NA,NA,TRUE
"91","animal101",NA,NA,"female","Angler",NA,NA,TRUE
"92","animal102",NA,NA,"female","Holstein",NA,NA,TRUE
"93","animal103",NA,NA,"female","Angler",NA,NA,TRUE
"94","animal104",NA,NA,"female","Angler",NA,NA,TRUE
"95","animal105",NA,NA,"female","Angler",NA,NA,TRUE
