Indiv Sire Dam Born Sex Breed EBV
animal4749 animal3707 animal4269 2015 female Angler 97.65
animal3961 animal3715 animal15 2015 female Angler 74.81
animal8166 animal3742 animal6157 2015 male Angler 77.17
animal8167 animal6158 animal16 2015 male Angler 68.92
animal4750 animal3702 animal4247 2015 male Angler 82.36
animal4751 animal4271 animal3706 2015 male Angler 81.74
animal1318 animal1 animal17 2015 female Angler 78.36
animal4752 animal4242 animal18 2015 male Angler 86.18
animal4753 animal4231 animal19 2015 male Angler 64.6
animal3591 animal3456 animal20 2015 male Angler 85.2
animal3962 animal3702 animal21 2015 male Angler 76.88
animal5337 animal3561 animal4747 2015 female Angler 71.04
animal4754 animal4239 animal3583 2015 male Angler 82.29
animal3963 animal3718 animal22 2015 female Angler 97.29
animal4755 animal4249 animal3960 2015 male Angler 79.84
animal3964 animal3729 animal23 2015 male Angler 63.43
animal4756 animal4248 animal24 2015 male Angler 66.31
animal8168 animal2 animal6154 2015 male Angler 71.17
animal6159 animal3486 animal5322 2015 male Angler 88.54
animal5338 animal4727 animal4737 2015 male Angler 75.34
animal3592 animal3 animal3455 2015 female Angler 59.47
animal3593 animal3476 animal25 2015 male Angler 84.79
animal5339 animal3744 animal4728 2015 female Angler 69.39
animal3965 animal3690 animal26 2015 female Angler 74.68
animal5340 animal4 animal4726 2015 male Angler 102.66
animal3966 animal3718 animal27 2015 male Angler 97.95
animal3967 animal3663 animal28 2015 male Angler 86.5
animal4273 animal3718 animal3959 2015 female Angler 92.83
animal6160 animal4744 animal5332 2015 male Angler 74.39
animal3968 animal3713 animal29 2015 female Angler 69.07
animal3969 animal3728 animal30 2015 female Angler 86.45
animal3970 animal3745 animal31 2015 male Angler 90.93
animal4757 animal3932 animal4268 2015 male Angler 65.75
animal3490 animal3361 animal32 2015 male Angler 101.74
animal6161 animal5324 animal33 2015 female Angler 76.79
animal4758 animal4237 animal4255 2015 female Angler 76.32
animal4759 animal3590 animal4266 2015 male Angler 71.37
animal5341 animal3540 animal4747 2015 male Angler 68.31
animal4760 animal4248 animal24 2015 female Angler 56.73
animal11701 animal3733 animal10291 2015 male Angler 109.79
animal5342 animal4254 animal4731 2015 male Angler 81.2
animal5343 animal4228 animal4726 2015 female Angler 83.43
animal5344 animal4732 animal34 2015 male Angler 94.05
animal5345 animal3489 animal4745 2015 male Angler 70.55
animal4761 animal4223 animal4256 2015 male Angler 75.05
animal6162 animal5325 animal4740 2015 female Angler 53.37
animal3366 animal3205 animal18 2015 male Angler 57.3
