Indiv Sire Dam Sex Breed Born
animal1 NA NA male Angler NA
animal2 NA NA male Angler NA
animal3 NA NA male Angler NA
animal4 NA NA male Angler NA
animal5 NA NA male Angler NA
animal6 NA NA male Angler NA
animal7 NA NA male Angler NA
animal8 NA NA male Angler NA
animal9 NA NA male Angler NA
animal10 NA NA male Angler NA
animal11 NA NA male Angler NA
animal12 NA NA male Angler NA
animal13 NA NA male Angler NA
animal14 NA NA male Angler NA
animal15 NA NA female Angler NA
animal16 NA NA female Angler NA
animal17 NA NA female Angler NA
animal18 NA NA female Angler NA
animal19 NA NA female Angler NA
animal20 NA NA female Angler NA
animal21 NA NA female Angler NA
animal22 NA NA female Angler NA
animal23 NA NA female Angler NA
animal24 NA NA female Angler NA
animal25 NA NA female Angler NA
animal26 NA NA female Angler NA
animal27 NA NA female Angler NA
animal28 NA NA female Angler NA
animal29 NA NA female Angler NA
animal30 NA NA female Angler NA
animal31 NA NA female Angler NA
animal32 NA NA female Angler NA
animal33 NA NA female Angler NA
animal34 NA NA female Angler NA
animal35 NA NA female Angler NA
animal36 NA NA female Angler NA
animal37 NA NA female Angler NA
animal38 NA NA female Angler NA
animal39 NA NA female Angler NA
animal40 NA NA female Angler NA
animal41 NA NA female Angler NA
animal42 NA NA female Angler NA
animal43 NA NA female Angler NA
animal44 NA NA female Angler NA
animal45 NA NA female Angler NA
animal46 NA NA female Angler NA
animal47 NA NA female Angler NA
animal48 NA NA female Angler NA
animal49 NA NA female Angler NA
animal50 NA NA female Angler NA
animal51 NA NA female Angler NA
animal52 NA NA female Angler NA
animal53 NA NA female Angler NA
animal54 NA NA female Angler NA
animal55 NA NA female Angler NA
animal56 NA NA female Angler NA
animal57 NA NA female Angler NA
animal58 NA NA female Angler NA
animal59 NA NA female Angler NA
animal60 NA NA female Angler NA
animal61 NA NA female Angler NA
animal62 NA NA female Angler NA
animal63 NA NA female Angler NA
animal64 NA NA female Angler NA
animal65 NA NA female Angler NA
animal66 NA NA female Angler NA
animal67 NA NA female Angler NA
animal68 NA NA female Angler NA
animal69 NA NA female Angler NA
animal70 NA NA female Angler NA
animal71 NA NA female Angler NA
animal72 NA NA female Angler NA
animal73 NA NA female Angler NA
animal74 NA NA female Angler NA
animal75 NA NA female Angler NA
animal76 NA NA female Angler NA
animal77 NA NA female Angler NA
animal78 NA NA female Angler NA
animal79 NA NA female Angler NA
animal80 NA NA female Angler NA
animal81 NA NA female Angler NA
animal82 NA NA female Angler NA
animal83 NA NA female Angler NA
animal84 NA NA female Angler NA
animal85 NA NA female Angler NA
animal86 NA NA female Angler NA
animal87 NA NA male Angler NA
animal88 NA NA female Fleckvieh NA
animal89 NA NA female Angler NA
animal90 NA NA female Angler NA
animal91 NA NA female Angler NA
animal92 NA NA female Angler NA
animal93 NA NA female Angler NA
animal94 NA NA female Angler NA
animal95 NA NA female Holstein NA
animal96 NA NA male Angler NA
animal97 NA NA female Angler NA
animal98 NA NA female Holstein NA
animal99 NA NA female Holstein NA
animal100 NA NA male Angler NA
animal101 NA NA female Angler NA
animal102 NA NA female Holstein NA
animal103 NA NA female Angler NA
animal104 NA NA female Angler NA
animal105 NA NA female Angler NA
animal106 NA NA female Holstein NA
animal107 NA NA female Angler NA
animal108 NA NA female Angler NA
animal109 NA NA female Rbt NA
animal110 NA NA female Angler NA
animal111 NA NA male Angler NA
animal112 NA NA female Angler NA
animal113 NA NA female Holstein NA
animal114 NA NA female Dt.Sbt.Niederungsrind NA
animal115 NA NA female Holstein NA
animal116 NA NA female Holstein NA
animal117 NA NA female Ayrshire NA
animal118 NA NA female Holstein NA
animal119 NA NA female Holstein NA
animal120 NA NA male Angler NA
animal121 NA NA female Holstein NA
animal122 NA NA female Holstein NA
animal123 NA NA female Angler NA
animal124 NA NA female Holstein NA
animal125 NA NA female Holstein NA
animal126 NA NA male Holstein NA
animal127 NA NA female Angler NA
animal128 NA NA male Holstein NA
animal129 NA NA male Holstein NA
animal130 NA NA female Holstein NA
animal131 NA NA male Holstein NA
animal132 NA NA male Holstein NA
animal133 NA NA female Angler NA
animal134 NA NA female Angler NA
animal135 NA NA female Angler NA
animal136 NA NA female Holstein NA
animal137 NA NA female Angler NA
animal138 NA NA female Angler NA
animal139 NA NA male Sonstige NA
animal140 NA NA female Angler NA
animal141 NA NA female Angler NA
animal142 NA NA female Angler NA
animal143 NA NA female Angler NA
animal144 NA NA female Angler NA
animal145 NA NA male Sonstige NA
animal146 NA NA female Dt.Sbt.Niederungsrind NA
animal147 NA NA female Angler NA
animal148 NA NA female Holstein NA
animal149 NA NA female Ayrshire NA
animal150 NA NA female Holstein NA
animal151 NA NA female Holstein NA
animal152 NA NA female Angler NA
animal153 NA NA female Angler NA
animal154 NA NA female Angler NA
animal155 NA NA female Angler NA
animal156 NA NA female Holstein 1933
animal157 NA NA male Holstein 1936
animal158 NA NA male Rbt 1936
animal159 NA NA male Dt.Sbt.Niederungsrind 1937
animal160 NA NA male Holstein 1938
animal161 NA NA male Holstein 1939
animal162 NA NA female Angler 1939
animal163 NA NA female Holstein 1939
animal164 NA NA female Holstein 1940
animal165 NA NA female Dt.Sbt.Niederungsrind 1940
animal166 NA NA male Holstein 1940
animal167 NA NA male Holstein 1940
animal168 NA NA male Dt.Sbt.Niederungsrind 1940
animal169 NA NA male Holstein 1941
animal170 NA NA female Holstein 1941
animal171 NA NA female Angler 1941
animal172 NA NA female Holstein 1941
animal173 NA NA male Holstein 1942
animal174 NA NA female Holstein 1942
animal175 NA NA female Holstein 1942
animal176 NA NA male Holstein 1942
