Indiv Sire Dam Sex Breed
HOL_1 NA NA male Holstein
HOL_2 NA NA female Holstein
HOL_3 NA NA male Holstein
HOL_4 NA NA female Holstein
HOL_5 NA NA male Holstein
HOL_6 NA NA male Holstein
HOL_7 NA NA male Holstein
HOL_8 NA NA male Holstein
HOL_9 NA NA male Holstein
HOL_10 NA NA male Holstein
HOL_11 NA NA male Holstein
HOL_12 NA NA male Holstein
HOL_13 NA NA female Holstein
HOL_14 NA NA male Holstein
HOL_15 NA NA male Holstein
HOL_16 NA NA male Holstein
HOL_17 NA NA male Holstein
HOL_18 NA NA male Holstein
HOL_19 NA NA male Holstein
HOL_20 NA NA male Holstein
HOL_21 NA NA male Holstein
HOL_22 NA NA male Holstein
HOL_23 NA NA male Holstein
HOL_24 NA NA male Holstein
HOL_25 NA NA male Holstein
HOL_26 NA NA male Holstein
HOL_27 NA NA male Holstein
HOL_28 NA NA male Holstein
HOL_29 NA NA male Holstein
HOL_30 NA NA male Holstein
HOL_31 NA NA male Holstein
HOL_32 NA NA male Holstein
HOL_33 NA NA male Holstein
HOL_34 NA NA male Holstein
HOL_35 NA NA male Holstein
HOL_36 NA NA male Holstein
HOL_37 NA NA male Holstein
HOL_38 NA NA male Holstein
HOL_39 NA NA male Holstein
HOL_40 NA NA male Holstein
HOL_41 NA NA female Holstein
HOL_42 NA NA male Holstein
HOL_43 NA NA male Holstein
HOL_44 NA NA male Holstein
HOL_45 NA NA male Holstein
HOL_46 NA NA male Holstein
HOL_47 NA NA male Holstein
HOL_48 NA NA male Holstein
HOL_49 NA NA male Holstein
HOL_50 NA NA male Holstein
HOL_51 NA NA male Holstein
HOL_52 NA NA male Holstein
HOL_53 NA NA male Holstein
HOL_54 NA NA female Holstein
HOL_55 NA NA male Holstein
HOL_56 NA NA female Holstein
HOL_57 NA NA female Holstein
HOL_58 NA NA male Holstein
HOL_59 NA NA male Holstein
HOL_60 NA NA male Holstein
HOL_61 NA NA male Holstein
HOL_62 NA NA male Holstein
HOL_63 NA NA male Holstein
HOL_64 NA NA male Holstein
HOL_65 NA NA female Holstein
HOL_66 NA NA male Holstein
HOL_67 NA NA male Holstein
HOL_68 NA NA male Holstein
HOL_69 NA NA male Holstein
HOL_70 NA NA male Holstein
HOL_71 NA NA male Holstein
HOL_72 NA NA male Holstein
HOL_73 NA NA female Holstein
HOL_74 NA NA female Holstein
HOL_75 NA NA male Holstein
HOL_76 NA NA male Holstein
HOL_77 NA NA male Holstein
HOL_78 NA NA male Holstein
HOL_79 NA NA male Holstein
HOL_80 NA NA male Holstein
HOL_81 NA NA male Holstein
HOL_82 NA NA male Holstein
HOL_83 NA NA male Holstein
HOL_84 NA NA male Holstein
HOL_85 NA NA male Holstein
HOL_86 NA NA male Holstein
HOL_87 NA NA male Holstein
HOL_88 NA NA male Holstein
HOL_89 NA NA male Holstein
HOL_90 NA NA male Holstein
HOL_91 NA NA female Holstein
HOL_92 NA NA female Holstein
HOL_93 NA NA male Holstein
HOL_94 NA NA male Holstein
HOL_95 NA NA male Holstein
HOL_96 NA NA male Holstein
HOL_97 NA NA male Holstein
HOL_98 NA NA male Holstein
HOL_99 NA NA male Holstein
HOL_100 NA NA male Holstein
HOL_101 NA NA female Holstein
HOL_102 NA NA male Holstein
HOL_103 NA NA male Holstein
HOL_104 NA NA male Holstein
HOL_105 NA NA male Holstein
HOL_106 NA NA male Holstein
HOL_107 NA NA female Holstein
HOL_108 NA NA male Holstein
HOL_109 NA NA male Holstein
HOL_110 NA NA male Holstein
HOL_111 NA NA male Holstein
HOL_112 NA NA male Holstein
HOL_113 NA NA male Holstein
HOL_114 NA NA male Holstein
HOL_115 NA NA male Holstein
HOL_116 NA NA male Holstein
HOL_117 NA NA male Holstein
HOL_118 NA NA male Holstein
HOL_119 NA NA male Holstein
HOL_120 NA NA female Holstein
HOL_121 NA NA male Holstein
HOL_122 NA NA male Holstein
HOL_123 NA NA male Holstein
HOL_124 NA NA male Holstein
HOL_125 NA NA male Holstein
HOL_126 NA NA male Holstein
HOL_127 NA NA male Holstein
HOL_128 NA NA male Holstein
HOL_129 NA NA male Holstein
HOL_130 NA NA female Holstein
HOL_131 NA NA male Holstein
HOL_132 NA NA male Holstein
HOL_133 NA NA male Holstein
HOL_134 NA NA male Holstein
HOL_135 NA NA male Holstein
HOL_136 NA NA male Holstein
HOL_137 NA NA male Holstein
HOL_138 NA NA male Holstein
HOL_139 NA NA female Holstein
HOL_140 NA NA male Holstein
HOL_141 NA NA male Holstein
HOL_142 NA NA male Holstein
HOL_143 NA NA male Holstein
HOL_144 NA NA female Holstein
HOL_145 NA NA male Holstein
HOL_146 NA NA male Holstein
HOL_147 NA NA male Holstein
HOL_148 NA NA male Holstein
HOL_149 NA NA male Holstein
HOL_150 NA NA male Holstein
HOL_151 NA NA male Holstein
HOL_152 NA NA male Holstein
HOL_153 NA NA female Holstein
HOL_154 NA NA male Holstein
HOL_155 NA NA male Holstein
HOL_156 NA NA male Holstein
HOL_157 NA NA male Holstein
HOL_158 NA NA male Holstein
HOL_159 NA NA male Holstein
HOL_160 NA NA female Holstein
HOL_161 NA NA male Holstein
HOL_162 NA NA male Holstein
HOL_163 NA NA male Holstein
HOL_164 NA NA male Holstein
HOL_165 NA NA male Holstein
HOL_166 NA NA male Holstein
HOL_167 NA NA male Holstein
HOL_168 NA NA male Holstein
HOL_169 NA NA male Holstein
HOL_170 NA NA male Holstein
HOL_171 NA NA male Holstein
HOL_172 NA NA male Holstein
HOL_173 NA NA male Holstein
HOL_174 NA NA male Holstein
HOL_175 NA NA male Holstein
HOL_176 NA NA male Holstein
HOL_177 NA NA male Holstein
HOL_178 NA NA male Holstein
HOL_179 NA NA male Holstein
HOL_180 NA NA male Holstein
HOL_181 NA NA male Holstein
HOL_182 NA NA male Holstein
HOL_183 NA NA male Holstein
HOL_184 NA NA male Holstein
HOL_185 NA NA male Holstein
HOL_186 NA NA male Holstein
HOL_187 NA NA male Holstein
HOL_188 NA NA female Holstein
HOL_189 NA NA male Holstein
HOL_190 NA NA female Holstein
HOL_191 NA NA male Holstein
HOL_192 NA NA male Holstein
HOL_193 NA NA male Holstein
HOL_194 NA NA female Holstein
HOL_195 NA NA male Holstein
HOL_196 NA NA male Holstein
HOL_197 NA NA male Holstein
HOL_198 NA NA male Holstein
HOL_199 NA NA male Holstein
HOL_200 NA NA male Holstein
SIM_1 NA NA female Fleckvieh
SIM_2 NA NA female Fleckvieh
SIM_3 NA NA female Fleckvieh
SIM_4 NA NA female Fleckvieh
SIM_5 NA NA female Fleckvieh
SIM_6 NA NA female Fleckvieh
SIM_7 NA NA female Fleckvieh
SIM_8 NA NA female Fleckvieh
SIM_9 NA NA female Fleckvieh
SIM_10 NA NA female Fleckvieh
SIM_11 NA NA female Fleckvieh
SIM_12 NA NA female Fleckvieh
