"","Indiv","Row.names","AshFDwPM","AshOnly","DWpM","WWP","PDW","Sire","Dam","Sex","Born","equiGen","isCandidate","IndivNum","Breed","Age","Class","c0","c1","lb","oc","ub","oc240","oc600"
"SL18-OI-6-FG2","SL18-OI-6-FG2","SL18-OI-6-FG2",0.399022224925392,-1.11105942172089,0.408099709022618,0.974660108062159,0.562381131163012,NA,3,"female",2,0.5,TRUE,"156","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,6.25923202656679e-11
"SL18-CC-5-FG2","SL18-CC-5-FG2","SL18-CC-5-FG2",0.32057302375781,0.540841002820963,0.176052853669648,0.546377044672835,-0.116411829817597,NA,23,"female",2,0.5,TRUE,"140","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,6.14205787918374e-11
"SL18-CC-12-FG2","SL18-CC-12-FG2","SL18-CC-12-FG2",0.307246058727555,0.989338968081752,0.344428801490207,1.0925197782688,-0.0556871948182078,NA,28,"female",2,0.5,TRUE,"157","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,6.60270248026793e-11
"SL18-SF-17-FG2","SL18-SF-17-FG2","SL18-SF-17-FG2",0.273258721862844,-0.435795944598739,0.0995608525776308,0.448338911023019,-0.0366373719627738,NA,82,"female",2,0.5,TRUE,"148","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,9.56943060868573e-11
"SL18-OI-6-FG3","SL18-OI-6-FG3","SL18-OI-6-FG3",0.246166101219293,-0.913015555255396,0.216129889359797,0.408514725774593,1.08240708435548,NA,3,"female",2,0.5,TRUE,"289","missing",3,"missing.Age3.female",0,0,0,4.1810850580868e-11,0.99999990831671,0,8.06923521734445e-11
"SA18-CB-7-FG3","SA18-CB-7-FG3","SA18-CB-7-FG3",0.240174250873739,-0.0465753507906161,0.184471370880297,0.478891673853971,-0.0193820095195912,NA,66,"female",2,0.5,TRUE,"385","missing",3,"missing.Age3.female",0,0,0,9.15098188023966e-11,0.99999990831671,0,8.67011561936249e-11
"SL18-CC-3-FG2","SL18-CC-3-FG2","SL18-CC-3-FG2",0.234180073009488,0.28002336556777,0.173578226962984,0.403596896501661,0.103559065933689,NA,21,"female",2,0.5,TRUE,"154","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,8.63623754829498e-11
"SL18-OI-4-FG2","SL18-OI-4-FG2","SL18-OI-4-FG2",0.224110088313931,0.529792350821729,0.222110584074359,0.503411648615221,0.324542023285195,NA,1,"female",2,0.5,TRUE,"287","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,5.23482500519068e-11
"SL18-OI-6-FG6","SL18-OI-6-FG6","SL18-OI-6-FG6",0.208546230271264,-0.921796151373417,0.157314419342226,0.346997723230803,0.508291208101073,NA,3,"female",2,0.5,TRUE,"516","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,4.13645170621033e-11
"SL18-OI-6-FG1","SL18-OI-6-FG1","SL18-OI-6-FG1",0.206656985952056,-1.30447854809466,0.00503199650552649,-0.0273989432234847,0.317810100976981,NA,3,"female",2,0.5,TRUE,"119","missing",3,"missing.Age3.female",0,0,0,0,0.99999990831671,0,3.37427520515781e-11
