"","Indiv","Row.names","AshFDwPM","AshOnly","DWpM","WWP","PDW","Sire","Dam","Sex","Born","equiGen","isCandidate","IndivNum","Breed","Age","Class","c0","c1","lb","oc","ub","oc240","oc600"
"SL18-OI-6-FG2","SL18-OI-6-FG2","SL18-OI-6-FG2",0.399022224925392,-1.11105942172089,0.408099709022618,0.974660108062159,0.562381131163012,NA,3,"female",2,0.5,TRUE,"156","missing",3,"missing.Age3.cohort",0,0,0,0.113207114835142,0.999999999999448,0.111425342285447,0.111070786987252
"SL18-CC-12-FG2","SL18-CC-12-FG2","SL18-CC-12-FG2",0.307246058727555,0.989338968081752,0.344428801490207,1.0925197782688,-0.0556871948182078,NA,28,"female",2,0.5,TRUE,"157","missing",3,"missing.Age3.cohort",0,0,0,0.0997408602167358,0.999999999999448,0.0982259429800079,0.0979088071129117
"SL18-CC-11-FG3","SL18-CC-11-FG3","SL18-CC-11-FG3",0.0758734086851409,0.651268620698108,0.295504918577678,0.958642323261777,-0.249171748664275,NA,58,"female",2,0.5,TRUE,"281","missing",3,"missing.Age3.cohort",0,0,0,0.0616082556614778,0.999999999999448,0.0606452993665292,0.0604428856752984
"SL18-SF-13-FG2","SL18-SF-13-FG2","SL18-SF-13-FG2",0.118368458010984,0.118311562047967,0.279082034605287,0.979987227794673,-0.0768231397960138,NA,59,"female",2,0.5,TRUE,"169","missing",3,"missing.Age3.cohort",0,0,0,0.0721309207831844,0.999999999999448,0.071527831810041,0.0713888902975498
"SL18-OI-11-FG3","SL18-OI-11-FG3","SL18-OI-11-FG3",0.195451528147228,0.548162906722171,0.239969464186983,0.775742481827329,-0.188656770492428,NA,4,"female",2,0.5,TRUE,"137","missing",3,"missing.Age3.cohort",0,0,0,0.0465866299472849,0.999999999999448,0.0461831453895262,0.0461049230071947
"SL18-OI-4-FG2","SL18-OI-4-FG2","SL18-OI-4-FG2",0.224110088313931,0.529792350821729,0.222110584074359,0.503411648615221,0.324542023285195,NA,1,"female",2,0.5,TRUE,"287","missing",3,"missing.Age3.cohort",0,0,0,0.0443230174991063,0.999999999999448,0.0440265091936525,0.0439656501149497
"SL18-OI-6-FG3","SL18-OI-6-FG3","SL18-OI-6-FG3",0.246166101219293,-0.913015555255396,0.216129889359797,0.408514725774593,1.08240708435548,NA,3,"female",2,0.5,TRUE,"289","missing",3,"missing.Age3.cohort",0,0,0,1.67325494563005e-15,0.999999999999448,9.17498335207148e-16,0
"SA18-CB-9-FG1","SA18-CB-9-FG1","SA18-CB-9-FG1",0.0998105688386726,-0.186224750178688,0.188286432980654,0.487078119199604,0.11781551853083,NA,90,"female",2,0.5,TRUE,"145","missing",3,"missing.Age3.cohort",0,0,0,0.04888086960409,0.999999999999448,0.0487494657299488,0.0487235065828336
"SA18-CB-7-FG3","SA18-CB-7-FG3","SA18-CB-7-FG3",0.240174250873739,-0.0465753507906161,0.184471370880297,0.478891673853971,-0.0193820095195912,NA,66,"female",2,0.5,TRUE,"385","missing",3,"missing.Age3.cohort",0,0,0,0,0.999999999999448,1.3268432739823e-15,0
"SL18-CC-5-FG2","SL18-CC-5-FG2","SL18-CC-5-FG2",0.32057302375781,0.540841002820963,0.176052853669648,0.546377044672835,-0.116411829817597,NA,23,"female",2,0.5,TRUE,"140","missing",3,"missing.Age3.cohort",0,0,0,0.0134759100354352,0.999999999999448,0.0138039044685332,0.013884571460287
"SL18-CC-3-FG2","SL18-CC-3-FG2","SL18-CC-3-FG2",0.234180073009488,0.28002336556777,0.173578226962984,0.403596896501661,0.103559065933689,NA,21,"female",2,0.5,TRUE,"154","missing",3,"missing.Age3.cohort",0,0,0,0.0192887437424528,0.999999999999448,0.0195529751219076,0.0196052911291757
"SL18-OD-10-FG2","SL18-OD-10-FG2","SL18-OD-10-FG2",0.0933202831128037,-0.0284193699136603,0.163221978587578,0.607147339778805,-0.0715064778743932,NA,77,"female",2,0.5,TRUE,"438","missing",3,"missing.Age3.cohort",0,0,0,1.30586343551584e-15,0.999999999999448,9.26157691342696e-16,0
"SA18-CB-10-FG1","SA18-CB-10-FG1","SA18-CB-10-FG1",0.198720231004232,-0.242804956307429,0.159372208783373,0.499206268772995,-0.18020619623622,NA,67,"female",2,0.5,TRUE,"105","missing",3,"missing.Age3.cohort",0,0,0,2.79078109081966e-15,0.999999999999448,1.16332304297132e-15,0
"SL18-OI-6-FG6","SL18-OI-6-FG6","SL18-OI-6-FG6",0.208546230271264,-0.921796151373417,0.157314419342226,0.346997723230803,0.508291208101073,NA,3,"female",2,0.5,TRUE,"516","missing",3,"missing.Age3.cohort",0,0,0,6.67051649115635e-16,0.999999999999448,0,0
"SL18-JS-6-FG2","SL18-JS-6-FG2","SL18-JS-6-FG2",0.153694144424199,0.0862494955709035,0.154647202022523,0.295620783927589,0.557620239405157,NA,33,"female",2,0.5,TRUE,"489","missing",3,"missing.Age3.cohort",0,0,0,2.26561566212503e-15,0.999999999999448,7.82419222006603e-16,0
"SA18-CB-7-FG1","SA18-CB-7-FG1","SA18-CB-7-FG1",0.200953037838811,0.091019593115664,0.149647173975756,0.435505850692231,0.0242180260303136,NA,66,"female",2,0.5,TRUE,"128","missing",3,"missing.Age3.cohort",0,0,0,9.93586617750886e-16,0.999999999999448,0,0
"SA18-CB-10-FG6","SA18-CB-10-FG6","SA18-CB-10-FG6",0.199736980095516,-0.212900182588012,0.143656810757362,0.333401922126017,-0.0885506801337063,NA,67,"female",2,0.5,TRUE,"524","missing",3,"missing.Age3.cohort",0,0,0,2.57287561671811e-15,0.999999999999448,1.15004350158412e-15,1.07315451453675e-16
"SA18-CB-10-FG2","SA18-CB-10-FG2","SA18-CB-10-FG2",0.199736946743686,-0.212900113324197,0.138436233621143,0.324462546889415,-0.0712822946743151,NA,67,"female",2,0.5,TRUE,"272","missing",3,"missing.Age3.cohort",0,0,0,2.49721228090355e-15,0.999999999999448,9.15853692686513e-16,0
"SL18-OI-17-FG4","SL18-OI-17-FG4","SL18-OI-17-FG4",0.185419026039334,0.0729430723980314,0.137086759441165,0.382746477130888,-0.100472698301206,NA,7,"female",2,0.5,TRUE,"153","missing",3,"missing.Age3.cohort",0,0,0,0.00582276726317322,0.999999999999448,0.00640305627161697,0.00652555570761237
"SL18-CC-12-FG3","SL18-CC-12-FG3","SL18-CC-12-FG3",0.190489982971604,0.585121654701517,0.131054203013267,0.400748349695716,0.0416881453659547,NA,28,"female",2,0.5,TRUE,"147","missing",3,"missing.Age3.cohort",0,0,0,1.45435625857979e-15,0.999999999999448,3.27597409917396e-16,7.74341564716463e-16
"SL18-CC-3-FG3","SL18-CC-3-FG3","SL18-CC-3-FG3",0.0365766405107122,0.0870558735164074,0.129700567230482,0.357613036631826,0.0859784192656826,NA,21,"female",2,0.5,TRUE,"163","missing",3,"missing.Age3.cohort",0,0,0,2.02543255611239e-15,0.999999999999448,1.53341936705533e-15,0
