"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM"
"SA18-CB-10-FG1","SA18-CB-10-FG1",0.198720231004232,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00121494981433194,NA,"Ne60",0.00121494981433194,0.198720231004232,0.00288329314624834,0.159372208783373
"SL18-LD-10-FG1","SL18-LD-10-FG1",-0.0464186121286845,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.000864187443489502,NA,"Ne60",0.000864187443489502,-0.0464186121286845,0.0016564278729905,-0.0275319695749863
"SL18-NL-6-FG1","SL18-NL-6-FG1",-0.0367564034303732,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00153144179397424,NA,"Ne60",0.00153144179397424,-0.0367564034303732,0.0150147917448277,0.100923847510163
"SL18-LD-10-FG2","SL18-LD-10-FG2",-0.0663194797178613,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00129439450306191,NA,"Ne60",0.00129439450306191,-0.0663194797178613,0.00246624845403198,-0.0382927751967983
"SL18-NL-9-FG2","SL18-NL-9-FG2",-0.0966409465794723,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00277756469530983,NA,"Ne60",0.00277756469530983,-0.0966409465794723,0.00491658681604684,-0.0770820910782038
"SL18-OI-15-FG1","SL18-OI-15-FG1",0.025987151985116,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.000231527670098908,NA,"Ne60",0.000231527670098908,0.025987151985116,0.000439701027069564,0.0454367436060811
"SL18-OI-16-FG3","SL18-OI-16-FG3",-0.0284162711975491,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.000211796334202777,NA,"Ne60",0.000211796334202777,-0.0284162711975491,1.18025691575939e-05,-0.0474682125084628
"SL18-LD-13-FG2","SL18-LD-13-FG2",-0.160945728761033,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,1.54854539416297e-06,NA,"Ne60",1.54854539416297e-06,-0.160945728761033,0.000160958709111455,-0.133543646393084
"SL18-OI-17-FG1","SL18-OI-17-FG1",0.103444388326799,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00279859733184425,NA,"Ne60",0.00279859733184425,0.103444388326799,1.71657443552315e-07,-0.0111658666333703
"SL18-OI-18-FG1","SL18-OI-18-FG1",0.0205122229147481,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00205761316872428,0,0,0.00302424124042587,NA,"Ne60",0.00302424124042587,0.0205122229147481,0.00353158861550921,-0.00349005372257012
