,BLUE_DwPM_2Yrs,Rank_2Yrs,BLUE_DwPM_2019,Rank_2019,BLUE_DwPM_2020,Rank_2020,BV_DWpM,Rank_BV,,,,
SL18-OI-6-FG2xSA18-CB-4-MG2,1.961213631,1,NA,NA,0.89,1,0.270768308,2,SL18-CC-5-FG2xSA18-CB-10-MG1,2020_Top,5,3
SL18-CC-3-FG2xSA18-CB-10-MG3,1.950234042,2,NA,NA,0.84,2,0.198292542,10,SL18-NL-6-FG1xSA18-CB-7-MG2,2019_Top,8,59
SL18-CC-11-FG3xSA18-CB-3-MG3,1.658506581,5,NA,NA,0.66,3,0.225654872,6,SL18-NL-6-FG1xSL18-OI-14-MG2,2019_Top,2,60
SL18-OI-4-FG2xSA18-CB-7-MG2,1.699544324,4,NA,NA,0.66,4,0.23386989,3,SL18-CC-11-FG3xSA18-CB-3-MG3,2020_Top,3,5
SL18-CC-5-FG2xSA18-CB-10-MG1,1.88964145,3,NA,NA,0.63,5,0.186764312,15,,,,
SA18-CB-4-FG6xSL18-JS-6-MG3,0.924804632,13,NA,NA,0.35,6,0.209596833,8,SL18-NL-6-FG1xSL18-OI-15-MG1,2019_Top,4,66
SL18-OI-11-FG3xSL18-NC-2-MG1,0.848318325,17,NA,NA,0.33,7,0.19243917,13,,,,
SL18-SF-17-FG2xSA18-CB-7-MG3,1.554977426,6,NA,NA,0.31,8,0.178249275,17,,,,
SL18-CC-8-FG2xSL18-JS-5-MG3,1.293379007,7,NA,NA,0.24,9,0.014237638,96,,,,
SL18-CC-5-FG3xSL18-OI-14-MG1,1.242386292,8,NA,NA,0.24,10,0.100861301,35,,,,
SL18-OI-6-FG2xSL18-LD-2-MG2,1.057874428,10,NA,NA,0.06,11,0.228123644,5,SL18-OI-18-FG5xSL18-SF-15-MG2,2019_Top,10,96
SL18-CC-12-FG2xSL18-OI-15-MG2,0.906267047,14,NA,NA,-0.09,12,0.275025782,1,SL18-OI-4-FG2xSA18-CB-7-MG2,2020_Top,4,4
SL18-LD-9-FG4xSL18-OI-6-MG2,0.350706588,37,NA,NA,-0.17,13,0.068595211,48,,,,
SL18-NL-7-FG3xSL18-OI-15-MG3,-0.171000996,157,NA,NA,-0.17,14,NA,NA,SL18-CC-3-FG2xSA18-CB-10-MG3,2020_Top,2,2
SL18-OI-6-FG3xSL18-CC-11-MG5,0.793086789,20,NA,NA,-0.19,15,0.232674482,4,SL18-SF-17-FG2xSA18-CB-7-MG3,2020_Top,8,6
SL18-OI-17-FG4xSL18-JS-6-MG2,0.71212107,23,NA,NA,-0.20,16,0.203161971,9,SL18-LD-1-FG2xSA18-CB-4-MG3,2019_Top,3,89
SL18-OI-4-FG2xSL18-NC-15-MG1,0.839200453,19,NA,NA,-0.21,17,0.096496477,36,,,,
SL18-CC-3-FG1xSL18-JS-5-MG2,0.840692242,18,NA,NA,-0.23,18,-0.015731644,127,,,,
