"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"SA18-CB-1-MG2",442.792311733587,-143.277885310692,-27.6100104652728,0.798904855569637,-57.4242969733603,8.2449173570541,-13.7806851484594,94.9621359687681,-18.4338847061814,6.50965230265763,-2.43382867066379,-35.6765631552825,22.8383585431777,-32.5006576469396,64.2939885747634,-31.8798423777508,61.9144191602678,26.6962805492195,27.9574278875231,-34.9804470633617,-14.9438054094145,-7.30778913512434,5.51559571229887,65.004852636358,17.4971687769521,8.17145023964778,6.82274077488778,31.284721368361,-17.7195735244617,-37.1903929341924
"SL18-LD-3-FG2",411.628250433895,-335.096925143167,-98.1082779975284,-58.6650280450947,-14.0816271001403,-30.2964081733442,-4.14568392415409,39.3547580240371,-16.8072763350544,24.238665061367,35.4447958260075,16.9850108476056,30.3089694069956,-57.8270565540421,41.690593753006,-17.898036718663,29.0410432882965,6.80677550049996,18.1274476513347,-37.4153939862347,-1.33298871186112,42.8456913583493,-28.7132463421128,10.2081189706318,5.21072376685892,18.1406225420038,0.925793206342079,14.8285511068093,-10.4912896165991,-35.0491406899732
"SA18-CB-10-MG1",102.091791630332,453.524689471746,98.7013983247558,144.475633428568,104.136829804344,102.695259897582,-236.299557601639,61.4422632888747,-25.9837724691319,-33.5477214561351,-207.888742803262,-280.772230480194,250.407967376981,-96.2815431612435,122.107331550901,-36.9187354145143,-6.13647192102642,-9.94492031800614,-92.7658328566153,0.399845258958395,155.33920361616,25.6607335796905,-98.13373446583,-16.4053135190058,-122.797803732757,46.0337349899444,16.5668013957507,20.6305820680671,-83.884496053159,13.2717373718342
"SA18-CB-3-MG3",505.761606578085,36.2934058703032,54.4246896354972,181.179291843406,-69.9366156057895,12.1626684658323,42.195372328,12.4592310959614,-3.23102569321086,15.8472481530424,19.6461018648571,69.0297738679466,4.46261078210782,-5.91928346595882,-13.1143086582831,12.1675762757388,39.4347541240199,3.09960980765631,34.1811696148149,-2.66405026799725,-22.6363012388699,10.7255762082823,38.898897752752,8.07851347180823,48.312629408134,-13.3982364770583,-12.5889399376049,-12.2437030801831,20.3226433505917,-12.1406502376678
"SL18-JS-19-FG2",-191.507983439108,112.460294219176,-212.920434119166,-183.349916687419,130.078193047401,-48.931682030461,105.243549196535,-130.087660237207,59.3062842289242,154.839878238298,-520.11576987908,123.55550034283,14.8033796862804,145.131832811608,-27.1680325620963,-139.701372602504,239.514311820754,44.385838151274,81.3276200294176,-1.9640602284484,6.33297986597022,-2.66527926466843,56.7164738698096,48.1268506244995,-136.148435974055,2.01437617805004,-43.3279782310011,50.4942502577856,34.7934653764153,-99.1744615893673
"SL18-SF-19-MG2",-136.246600494369,19.6680241249461,135.138309636937,-151.67316330822,56.740196021495,310.036096253195,-6.50810671781039,-16.1577078648189,120.386769467356,231.961419112695,124.519677512776,-205.452290234974,-222.247146338384,-52.6576886608757,-117.711012972842,223.915884299475,223.757169707056,125.023986502808,150.832480659807,163.149414563203,364.762824834949,-69.2147362303628,135.120147813601,144.201746289724,92.1166426635891,121.585396292192,276.952667599048,72.1983378693016,113.146778943296,-57.6702111108084
"SA18-CB-5-MG3",212.408296839815,210.282186315984,72.2785737105061,33.0370902021934,5.74684351483613,62.1859678867035,-115.860280741755,70.8213029679718,-6.96072598515827,17.6857073785953,-96.1856386345612,-167.123678357421,248.943366788218,-156.833993446265,8.2852321474332,-15.1311899102847,-1.32598522921614,54.0545563867837,236.960974365234,124.821343126319,-91.8138807724688,-107.719457204452,175.511261305535,17.06761855511,297.592957485237,13.7360093459485,-90.2552127862732,-132.673043006325,14.7949035706792,162.070273971224
"SA18-CB-7-FG3",334.001229799778,408.490053727817,191.038729664474,391.732515144751,29.4057146068246,22.4287574642902,184.199662046566,-219.68855142145,80.3159575594977,51.6431163185853,23.4427647297483,176.098030272638,-161.853292024172,65.8047908634066,-138.895107067577,-17.5856714511104,-23.2567763613601,-70.6613664510147,-41.2260188221318,-8.72378208956048,10.7789427123097,-14.8046910252476,-10.1095510343636,-32.1125142849091,-33.6241046067047,-26.966212739066,30.2609456825476,-7.52665688468764,-26.7875940352783,24.334708071302
"SL18-LL-9-FG3",-161.163889715765,-47.1777245772971,22.3939741061137,-79.4371645494163,274.253119232082,110.873597857217,148.529226728802,-266.765170377049,217.36254287595,337.604649774954,329.640490825127,-138.713412694545,62.4422137024466,-209.881848030782,151.082972882102,-236.766250697888,-134.011279670356,-186.020815367897,65.1916260023541,29.2337987398916,59.509736404511,-115.614178360272,-79.2291447760453,78.6737184106837,-167.61237475741,-125.975574918765,-217.775608618489,115.909597429642,133.398591539674,-248.988403919544
"SL18-CC-8-MG3",-266.266945082257,-85.6158644615544,-3.93105456508583,224.482304887584,-99.4536026899002,-76.6845654469844,-358.507936020587,-120.274248308358,131.569495818408,95.500707004583,200.919753807404,85.144420023701,268.502358822386,405.008253508673,24.6065757741455,68.1240624709542,71.6426278187743,-94.4280926056537,140.843778165344,95.2838396439981,-45.2308523057531,60.3278157584256,22.9736709048933,-66.9195632797894,85.3235080846494,73.0832070008886,11.3343881801323,-11.3594849579513,-38.3777153877415,-8.17851815737271
"SA18-CB-7-MG2",534.189228197296,80.3213484893627,91.9694759112183,248.601783975973,-46.5875079640857,21.7019485284884,86.3158559485714,-67.9587561642275,44.743583614608,33.9093863124076,16.4457848744707,121.074981382627,-111.845125381348,59.9079993260214,-52.8618336344374,-14.3962651873661,21.4864079511541,-44.8455273593283,-43.8533362408233,-66.088644939178,13.5422215830108,26.7217116028363,-16.772704946434,-9.3643686124068,1.18480889624643,14.8320967242156,-1.66136743346279,12.7785956681019,-19.4446231311034,-7.8500478666623
"SL18-NC-15-MG1",-129.781726675173,331.798825804655,-299.562268656762,-64.4015395572537,-217.410863489178,-151.177250567574,72.9299781560672,368.234212961226,218.412017337776,137.846238456916,97.9986854126038,111.654839229944,11.9364243594596,-80.9828926066682,43.0604538316482,0.476916360696056,13.2995190180764,-17.7683883841209,18.8029571092774,-15.5796739594484,-2.7314306313113,70.4361563271411,-4.68042112268749,-26.9113098895427,15.7343352986443,64.4652560630456,29.272021703327,-11.0128722814199,-55.8036216895996,-4.80097593603962
"SL18-LD-1-FG2",377.465867140806,-333.696949340772,-93.0698263714979,-69.7880762186498,8.63561201311705,-22.4565799195356,-3.57641596332229,23.168582210847,5.64405015758339,35.568617241594,52.220047112291,29.8398687643909,33.3107815367427,-73.9626516718456,53.113471450586,-26.959193843423,25.7347069545164,-2.86169380756072,13.1905470189016,-28.7338636586579,-4.6541511092885,38.1163539055703,-36.1260764129787,14.6314175157023,5.30098481849522,17.4381630135511,-10.7003727554166,26.7348863703634,-8.35861632273984,-34.9879009474878
