Plot #,Number,Blade Length (cm),Blade Width Max,Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),Wet Weight (g),Dry Weight (g),% Dry Weight,Holdfast (Y/N),Stipe Hollow (Y/N),Bullations (Y/N),Fouling (Y/N),Sorrus Tissue (Y/N),Grazing (Y/N),Comments
S1,1,108.7,25.3,0.67,45,7.82,221.86,22.03,9.929685387,,,No,Yes,Yes,Yes,
S1,2,176.7,25.5,0.81,39.9,5.95,229.95,25.02,10.88062622,,,No,Yes,Yes,Yes,
S1,3,143,25.3,0.88,30.8,6.79,152.83,14.83,9.703592227,,,No,Yes,No,Yes,
S1,4,169,22.9,1.23,36.1,6.74,199.99,20.46,10.23051153,,,No,Yes,Yes,Yes,
S1,5,171.2,15,0.94,12.3,5.94,133.08,14.05,10.55755936,,,No,Yes,No,Yes,
S2,1,,,,,,,,,,,,,,,
S2,2,,,,,,,,,,,,,,,
S2,3,,,,,,,,,,,,,,,
S2,4,,,,,,,,,,,,,,,
S2,5,,,,,,,,,,,,,,,
S3,1,316,20.4,0.65,51.1,7.89,285,30.72,10.77894737,,,No,Yes,Yes,Yes,
S3,2,274,18,0.62,70.4,6.95,268.04,32.28,12.04297866,,,No,Yes,No,Yes,
S3,3,116.6,17.1,0.68,63.9,7.31,120.01,12.43,10.35747021,,,No,Yes,No,Yes,
S3,4,207.1,12.3,0.65,25.2,5.4,132.95,13.49,10.14667168,,,No,Yes,No,Yes,
S3,5,73.9,11.7,0.58,19.5,4.36,27.1,2.87,10.5904059,,,No,Yes,No,Yes,
S4,1,152.1,25.5,0.93,66.1,8.62,207.82,20.76,9.989413916,,,Yes,Yes,Yes,No,
S4,2,172.3,24.5,0.88,79.6,8.97,218.33,41.47,18.99418312,,,Yes,Yes,Yes,No,
S4,3,152.6,27.4,0.84,60.7,9.25,183.85,17.22,9.366331248,,,Yes,Yes,Yes,No,
S4,4,146.2,21.7,0.76,55.7,8.79,138.8,14.26,10.27377522,,,Yes,Yes,Yes,No,
S4,5,178.6,22.6,0.91,86,9.73,232.17,22.79,9.816083043,,,Yes,Yes,Yes,No,
S5,1,,,,,,,,,,,,,,,
S5,2,,,,,,,,,,,,,,,
S5,3,,,,,,,,,,,,,,,
S5,4,,,,,,,,,,,,,,,
S5,5,,,,,,,,,,,,,,,
S6,1,164,15.3,0.79,53.4,7.43,162.58,14.68,9.02940091,,,No,Yes,Yes,Yes,
S6,2,188.2,12,1.11,42.3,6.43,167.04,14.7,8.800287356,,,No,Yes,No,Yes,
S6,3,217.1,22.7,1.15,29.1,5.89,277.15,30.37,10.957965,,,Yes,Yes,Yes,Yes,
S6,4,271.4,21.6,1.14,19.2,6.3,465.94,49.52,10.62797785,,,No,Yes,Yes,Yes,
S6,5,238.2,24.2,0.94,50,8.19,323.57,36.22,11.19386841,,,No,Yes,Yes,Yes,
S7,1,,,,,,,,,,,,,,,
S7,2,,,,,,,,,,,,,,,
S7,3,,,,,,,,,,,,,,,
S7,4,,,,,,,,,,,,,,,
S7,5,,,,,,,,,,,,,,,
S8,1,200.6,17.2,0.88,52.9,7.39,217.2,22.61,10.40976059,,,No,Yes,No,No,
S8,2,125.1,18.9,0.74,19.3,7.19,149.5,15.97,10.68227425,,,No,Yes,Yes,No,
S8,3,110.1,17.8,0.63,12.2,5.2,78.1,5.66,7.247119078,,,No,Yes,No,No,
S8,4,59,21.8,0.81,56.2,7.74,106.3,9.59,9.021636877,,,No,No,No,No,broken blade
S8,5,150.8,19.5,0.84,18.3,6.16,163.48,15.8,9.6647908,,,No,Yes,No,No,
S9,1,130.7,16.6,0.48,9.6,4.47,116.99,11.84,10.12052312,,,No,Yes,No,No,no holdfast
S9,2,120.1,13.9,0.72,6.1,4.13,85.44,8.52,9.971910112,,,No,Yes,No,Yes,
S9,3,120.7,13.1,0.48,8.5,5.26,92.19,8.87,9.621433995,,,No,Yes,No,No,
S9,4,166.2,14.8,0.81,15.4,6.01,147.32,13.83,9.387727396,,,No,Yes,No,No,
S9,5,141,14.1,0.81,15.2,5.6,127.16,11.69,9.193142498,,,No,Yes,No,No,
S10,1,216,28,0.95,54,8.8,362,37.74,10.42541436,,,No,Yes,Yes,Yes,
S10,2,154,28,0.72,37,7.04,184.5,20.04,10.86178862,,,No,Yes,Yes,Yes,
S10,3,95,22,0.95,48.5,9,116.6,10.55,9.048027444,,,No,Yes,No,Yes,
S10,4,42,25.1,0.85,44.5,6.9,46,4.43,9.630434783,,,No,Yes,No,Yes,
S10,5,90.5,21,0.78,40,7.61,93.8,10.6,11.30063966,,,No,Yes,No,Yes,
S11,1,332.5,16.3,0.92,30.1,6.3,265.43,27.92,10.51878085,,,No,Yes,No,No,
S11,2,285.7,9.5,0.87,30.3,4.67,147.28,14.06,9.546442151,,,No,Yes,No,No,
S11,3,315.1,10.2,0.84,22.8,4.77,188.38,21.94,11.64667162,,,No,Yes,No,No,
S11,4,308,8.4,0.81,43.6,5.33,141.22,13.93,9.86404192,,,No,Yes,No,No,
S11,5,343.6,14.4,0.89,32.5,6.7,301.9,32.94,10.91089765,,,No,Yes,No,No,
S12,1,,,,,,,,,,,,,,,
S12,2,,,,,,,,,,,,,,,
S12,3,,,,,,,,,,,,,,,
S12,4,,,,,,,,,,,,,,,
S12,5,,,,,,,,,,,,,,,
