Plot #,Cross ID,FemaleGP,Female Location,MaleGP,Male Location,Crosses,Cross Location,Category,Site,F_Keeper,M_Keeper,Painting Density ,Development Ranking,Contamination is Culture,Line ,Position,Block,Harvest Date,Sample Date,Time,Recorder,Photo,Photo Score,Wet Weight of Plot (kg),Length of Plot (m),Wet Weight per meter (kg),% Dry Weight (Subsample),Dry Yield (kg/m) (Subsample),% Dry Weight (Individual),Dry Yield (kg/m) (Individual),Sporphyte Density per Meter,Blade Length (cm),Blade Width Max (cm),Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),% Dry Weight,Stipe Hollow (Y),Stipe Hollow (N),Bullations (Y),Bullations (N),Fouling (Y),Fouling (N),Sorrus Tissue (Y),Sorrus Tissue (N)
S1,SL20_UCONN_S1,SL18-JS-19-FG5,JS,SL18-OI-4-MG1,OI,SL18-JS-19-FG5xSL18-OI-4-MG1,JS x OI,Top160,GOM,,,,,,1,1,1,6/7/21,6/8/21,8:44,,Yes,2,9.2,0.735,12.52,11.11,1.390971046,10.26039495,1.284294333,93.75,153.72,22.8,0.91,32.82,6.65,10.26,0,0,0,5,5,0,3,2
S2,SL20_UCONN_S2,SL18-JS-19-FG5,JS,SL18-SF-13-MG1,SF,SL18-JS-19-FG5xSL18-SF-13-MG1,JS x SF,Top160,GOM,,,,,,1,2,1,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S3,SL20_UCONN_S3,SA18-CB-7-FG1,CB,SL18-LD-1-MG1,LD,SA18-CB-7-FG1xSL18-LD-1-MG1,CB x LD,TopRep1,GOM,,,,,,1,3,1,6/7/21,6/8/21,9:19,,Yes,3,14.7,0.82,17.93,11.06,1.982938412,10.78329476,1.933102842,175,197.52,15.9,0.64,46.02,6.38,10.78,0,0,0,5,5,0,1,4
S4,SL20_UCONN_S4,SL18-UCONN-S157-FG2,UCONN,SL18-OI-17-MG3,OI,SL18-UCONN-S157-FG2xSL18-OI-17-MG3,UCONN x OI,Top160,GOM,,,,,,1,4,1,6/7/21,6/8/21,9:29,,Yes,2,11.26,0.83,13.57,10.74,1.457455636,11.68795731,1.585619269,237.5,160.36,24.34,0.86,69.62,9.07,11.69,0,0,5,0,5,0,5,0
S5,SL20_UCONN_S5,SL18-CC-6-FG2,CC,SL18-OI-14-MG1,OI,SL18-CC-6-FG2xSL18-OI-14-MG1,CC x OI,Extra,GOM,,,,,,1,5,1,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S6,SL20_UCONN_S6,SL18-CC-3-FG1,CC,SL18-OI-7-MG2,OI,SL18-CC-3-FG1xSL18-OI-7-MG2,CC x OI,Extra,GOM,,,,,,1,6,1,6/7/21,6/8/21,9:38,,Yes,3,18.12,0.825,21.96,11.78,2.587468431,10.1218999,2.223137288,131.25,215.78,19.16,1.03,38.8,6.85,10.12,0,0,1,4,5,0,4,1
S7,SL20_UCONN_S7,,,,,SL20-GS-12xSL20-DW-9xSL20-LE-4xSL20-JL-6, x ,Industry Cross,GOM,,,,,,1,7,1,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S8,SL20_UCONN_S8,SL18-OI-6-FG2,OI,SL18-OI-11-MG3,OI,SL18-OI-6-FG2xSL18-OI-11-MG3,OI x OI,Paint_replace,GOM,,,,,,1,8,1,6/7/21,6/8/21,9:46,,Yes,1,7.62,0.88,8.66,11.86,1.027158397,9.405116318,0.814397572,68.75,129.12,19.04,0.78,31.78,6.74,9.41,0,0,0,5,4,1,1,4
S9,SL20_UCONN_S9,SL18-JS-5-FG1,JS,SL18-CC-7-MG1,CC,SL18-JS-5-FG1xSL18-CC-7-MG1,JS x CC,Extra,GOM,,,,,,1,9,1,6/7/21,6/8/21,9:50,,Yes,3,7.68,0.77,9.97,10.38,1.035747362,9.658947425,0.963385925,287.5,135.74,14.5,0.66,10.96,5.09,9.66,0,0,0,5,5,0,0,5
S10,SL20_UCONN_S10,SL18-UCONN-S142-FG3,UCONN,SL18-OI-15-MG1,OI,SL18-UCONN-S142-FG3xSL18-OI-15-MG1,UCONN x OI,Top160,GOM,,,,,,1,10,1,6/7/21,6/8/21,9:54,,Yes,3,13.19,0.815,16.18,10.51,1.701173314,10.25326097,1.659392788,106.25,119.5,24.82,0.85,44.8,7.87,10.25,0,0,0,5,5,0,2,3
S11,SL20_UCONN_S11,SL-OI-6-FG-2,OI,SA-CB-7-MG-3,CB,SL-OI-6-FG-2xSA-CB-7-MG-3,OI x CB,Spray,GOM,,,,,,1,11,2,6/7/21,6/8/21,9:59,,Yes,2,7.99,0.855,9.35,10.55,0.986082205,10.49736684,0.980982,181.25,316.98,11.76,0.87,31.86,5.55,10.5,0,0,0,5,5,0,0,5
S12,SL20_UCONN_S12,,,,,SL20-DW-1xSL20-DW-2xSL20-DW-3xSL20-GS-1xSL20-GS-5, x ,Industry Cross,GOM,,,,,,1,12,2,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
