crossID,Order_1,Year,plotNo,Region,plotNo_Numeric,date,GrowDays,Paint2Plant,femaPar,femaParLoc,malePar,maleParLoc,Crosses,CrossLoc,PlantingDens,development,line,position,block,PhotoScore,wetWgtPlot,lengthPlot,wetWgtPerM,percDryWgt,dryWgtPerM,AshFreedryWgtPerM,Ash Free %,densityBlades,Carbon (Celignis),Hydrogen (Celignis),Nitrogen (Celignis),Sulphur (Celignis),Oxygen (Celignis),Ash (Celignis),Ash (WHOI),Moisture,HHV,LHV,Total Sugars,Mannuronic,Guluronic,Glucuronic,Mannitol,Fucose,Glucan,Xylan,Mannan,Galactan,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111,C (UCONN),N (UCONN),C:N (UCONN)
Check,602,2020,Z4-C,GOM,C4-C,6_9_2020,185,,SL18-NL-7-FG3,NL,SL18-OI-15-MG3,OI,SL18-NL-7-FG3xSL18-OI-15-MG3,NL X OI,NA,NA,1,61,11,0,0.02,1.02,0.02,7.14,0.001302521,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Check,616,2020,Z5-F,SNE,C5-F,5_26_2020,174,,LIS-F1-3,Missing,SL18-CT-1-MG2,CT,LIS-F1-3xSL18-CT-1-MG2,Missing X CT,NA,NA,5,4,1,0,0.02,0.985,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S107,106,2019,2019_107,GOM,107,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-LD-10-MG3,LD,SL18-NL-6-FG3xSL18-LD-10-MG3,NL X LD,2,1,3,50,9,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S108,107,2019,2019_108,GOM,108,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-LD-5-MG1,LD,SL18-NL-6-FG3xSL18-LD-5-MG1,NL X LD,1,1,3,55,9,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S109,108,2019,2019_109,GOM,109,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-OI-18-MG1,OI,SL18-NL-6-FG3xSL18-OI-18-MG1,NL X OI,1,1,4,25,5,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S110,109,2019,2019_110,GOM,110,5_30_2019,122,,SL18-NL-6-FG3,NL,SL18-OI-4-MG1,OI,SL18-NL-6-FG3xSL18-OI-4-MG1,NL X OI,1,1,1,5,1,0,0.09,0.87,0.103448276,10.09,0.01,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S112,111,2019,2019_112,GOM,112,5_31_2019,122,,SL18-NL-6-FG3,NL,SL18-OI-9-MG3,OI,SL18-NL-6-FG3xSL18-OI-9-MG3,NL X OI,1,1,4,5,1,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S114,113,2019,2019_114,GOM,114,5_30_2019,122,,SL18-NL-7-FG3,NL,SA18-CB-7-MG3,CB,SL18-NL-7-FG3xSA18-CB-7-MG3,NL X CB,2,1,1,48,8,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S117,116,2019,2019_117,GOM,117,5_29_2019,122,,SL18-NL-7-FG3,NL,SL18-LD-3-MG2,LD,SL18-NL-7-FG3xSL18-LD-3-MG2,NL X LD,2,1,2,55,9,0,0.07,0.77,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S118,117,2019,2019_118,GOM,118,5_29_2019,122,,SL18-NL-7-FG3,NL,SL18-LD-9-MG1,LD,SL18-NL-7-FG3xSL18-LD-9-MG1,NL X LD,2,1,2,45,8,0,0.08,0.89,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S119,118,2019,2019_119,GOM,119,5_30_2019,122,,SL18-NL-7-FG3,NL,SL18-SF-17-MG2,SF,SL18-NL-7-FG3xSL18-SF-17-MG2,NL X SF,2,1,3,29,5,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S130,129,2019,2019_130,GOM,130,5_31_2019,122,,SL18-OI-16-FG1,OI,SL18-LD-13-MG3,LD,SL18-OI-16-FG1xSL18-LD-13-MG3,OI X LD,2,1,3,35,6,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S135,134,2019,2019_135,GOM,135,5_31_2019,122,,SL18-OI-16-FG2,OI,SL18-SF-19-MG2,SF,SL18-OI-16-FG2xSL18-SF-19-MG2,OI X SF,1,1,4,40,7,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S165,163,2019,2019_165,GOM,165,5_30_2019,122,,SL18-OI-2-FG2,OI,SL18-NL-3-MG2,NL,SL18-OI-2-FG2xSL18-NL-3-MG2,OI X NL,1,1,1,55,9,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S179,177,2019,2019_179,GOM,179,5_31_2019,122,,SL18-OI-6-FG1,OI,SL18-NL-2-MG1,NL,SL18-OI-6-FG1xSL18-NL-2-MG1,OI X NL,1,1,4,28,5,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S185,183,2019,2019_185,GOM,185,5_29_2019,122,,SL18-OI-7-FG3,OI,SL18-NL-3-MG2,NL,SL18-OI-7-FG3xSL18-NL-3-MG2,OI X NL,2,1,2,4,1,0,0.07,0.93,0.075268817,12.44,0.01,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S200,198,2019,2019_200,GOM,200,5_31_2019,122,,SL18-SF-18-FG1,SF,SL18-LL-9-MG3,LL,SL18-SF-18-FG1xSL18-LL-9-MG3,SF X LL,1,1,4,39,7,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S64,63,2019,2019_64,GOM,64,5_31_2019,122,,SL18-NL-10-FG2,NL,SA18-CB-2-MG2,CB,SL18-NL-10-FG2xSA18-CB-2-MG2,NL X CB,2,1,4,21,4,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S65,64,2019,2019_65,GOM,65,5_29_2019,122,,SL18-NL-10-FG2,NL,SL18-LD-13-MG3,LD,SL18-NL-10-FG2xSL18-LD-13-MG3,NL X LD,2,1,2,5,1,0,0.07,0.86,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S66,65,2019,2019_66,GOM,66,5_29_2019,122,,SL18-NL-10-FG2,NL,SL18-LL-9-MG1,LL,SL18-NL-10-FG2xSL18-LL-9-MG1,NL X LL,1,1,2,41,7,0,0.07,0.9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL18-UCONN-S68,67,2019,2019_68,GOM,68,5_31_2019,122,,SL18-NL-10-FG2,NL,SL18-OI-16-MG1,OI,SL18-NL-10-FG2xSL18-OI-16-MG1,NL X OI,2,1,4,26,5,0,0.07,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
