"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SA18-CB-10-FG1","SA18-CB-10-FG1",0.198720231004232,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,5.80249395499589e-07,NA,"Ne60",5.80249395499589e-07,0.198720231004232,4.72345995754806e-07,0.159372208783373,"CB","GOM"
"SL18-LD-10-FG1","SL18-LD-10-FG1",-0.0464186121286845,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0094419693374501,NA,"Ne60",0.0094419693374501,-0.0464186121286845,0.0100987303280755,-0.0275319695749863,"LD","GOM"
"SL18-NL-6-FG1","SL18-NL-6-FG1",-0.0367564034303732,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0143005924982057,NA,"Ne60",0.0143005924982057,-0.0367564034303732,0.031677397242964,0.100923847510163,"NL","GOM"
"SL18-LD-10-FG2","SL18-LD-10-FG2",-0.0663194797178613,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,1.0292117971284e-06,NA,"Ne60",1.0292117971284e-06,-0.0663194797178613,9.17938587530806e-07,-0.0382927751967983,"LD","GOM"
"SL18-NL-9-FG2","SL18-NL-9-FG2",-0.0966409465794723,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00299140630544393,NA,"Ne60",0.00299140630544393,-0.0966409465794723,0.00287813100294169,-0.0770820910782038,"NL","GOM"
"SL18-OI-15-FG1","SL18-OI-15-FG1",0.025987151985116,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00186300542744124,NA,"Ne60",0.00186300542744124,0.025987151985116,0.00110173657558339,0.0454367436060811,"OI","GOM"
"SL18-OI-16-FG3","SL18-OI-16-FG3",-0.0284162711975491,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,3.21514233154419e-06,NA,"Ne60",3.21514233154419e-06,-0.0284162711975491,3.00614950670952e-07,-0.0474682125084628,"OI","GOM"
"SL18-LD-13-FG2","SL18-LD-13-FG2",-0.160945728761033,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,2.67406063790541e-07,NA,"Ne60",2.67406063790541e-07,-0.160945728761033,1.17555387487126e-07,-0.133543646393084,"LD","GOM"
"SL18-OI-17-FG1","SL18-OI-17-FG1",0.103444388326799,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00236427477902966,NA,"Ne60",0.00236427477902966,0.103444388326799,1.90034318989102e-07,-0.0111658666333703,"OI","GOM"
"SL18-OI-18-FG1","SL18-OI-18-FG1",0.0205122229147481,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00693618384189631,NA,"Ne60",0.00693618384189631,0.0205122229147481,0.00596412133131328,-0.00349005372257012,"OI","GOM"
"SL18-OI-18-FG2","SL18-OI-18-FG2",0.0229293851885968,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,3.4448720936523e-07,NA,"Ne60",3.4448720936523e-07,0.0229293851885968,1.17655466463017e-07,-0.0235027568186668,"OI","GOM"
"SL18-OI-2-FG2","SL18-OI-2-FG2",0.0415956610256191,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,3.03455771661415e-05,NA,"Ne60",3.03455771661415e-05,0.0415956610256191,8.02582989486264e-08,-0.0292890484170458,"OI","GOM"
"SL18-LD-1-FG1","SL18-LD-1-FG1",0.0234797914985559,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00410851412054855,NA,"Ne60",0.00410851412054855,0.0234797914985559,2.31111935356292e-07,-0.0940868438898945,"LD","GOM"
"SL18-OI-2-FG3","SL18-OI-2-FG3",0.0259183961194003,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000265067343048198,NA,"Ne60",0.000265067343048198,0.0259183961194003,7.02833389430731e-08,-0.0566559842712249,"OI","GOM"
"SL18-OI-6-FG1","SL18-OI-6-FG1",0.206656985952056,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,4.19749003533464e-07,NA,"Ne60",4.19749003533464e-07,0.206656985952056,2.36684646238636e-08,0.00503199650552649,"OI","GOM"
"SL18-OI-9-FG1","SL18-OI-9-FG1",-0.0279141093960724,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00152997359135409,NA,"Ne60",0.00152997359135409,-0.0279141093960724,0.00039023613871585,-0.0200427236528616,"OI","GOM"
"SL18-SF-13-FG1","SL18-SF-13-FG1",-0.0452027985340816,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,1.31156793286089e-07,NA,"Ne60",1.31156793286089e-07,-0.0452027985340816,3.44104143628081e-08,-0.0459915529812606,"SF","GOM"
"SL18-LD-1-FG2","SL18-LD-1-FG2",0.0385890317006769,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0209477262287705,NA,"Ne60",0.0209477262287705,0.0385890317006769,0.0137585050307611,-0.0260322245305037,"LD","GOM"
"SA18-CB-4-FG3","SA18-CB-4-FG3",0.0290523576712486,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,1.1139889057992e-07,NA,"Ne60",1.1139889057992e-07,0.0290523576712486,5.54994683209476e-08,0.04764724630134,"CB","GOM"
"SL18-LD-2-FG2","SL18-LD-2-FG2",-0.0458103522614066,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,1.9568162801581e-07,NA,"Ne60",1.9568162801581e-07,-0.0458103522614066,7.61067355725166e-08,-0.0685791185469426,"LD","GOM"
"SL18-LD-3-FG1","SL18-LD-3-FG1",-0.0322292368221213,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,2.79413811254524e-07,NA,"Ne60",2.79413811254524e-07,-0.0322292368221213,7.64716541439762e-08,-0.061025718015075,"LD","GOM"
