"","BLUE_DwPM_2Yrs","CrossName","BLUE_DwPM_2019","BLUE_DwPM_2020","BLUE_DwPM_2019_2","BLUE_DwPM_2020_2","BV_DWpM"
"SA18-CB-10-FG2xSL18-LL-9-MG1",-0.168129123911242,"SA18-CB-10-FG2xSL18-LL-9-MG1",-0.113933933933933,NA,-0.113933933933929,NA,0.00837783327063071
"SA18-CB-2-FG3xSL18-CC-2-MG5",1.22136395662682,"SA18-CB-2-FG3xSL18-CC-2-MG5",NA,NA,NA,NA,0.14727505497607
"SA18-CB-2-FG3xSL18-NC-9-MG1",0.13695739091747,"SA18-CB-2-FG3xSL18-NC-9-MG1",NA,-0.776100272249998,NA,-0.77610027225,0.0275606190928376
"SA18-CB-2-FG3xSL18-OI-2-MG2",0.231916064684984,"SA18-CB-2-FG3xSL18-OI-2-MG2",NA,-0.879332349999997,NA,-0.879332350000004,0.00321521849464272
"SA18-CB-4-FG3xSA18-CB-4-MG3",-0.168127888117815,"SA18-CB-4-FG3xSA18-CB-4-MG3",-0.0718318318318311,NA,-0.0718318318318262,NA,0.0246816010145499
"SA18-CB-4-FG6xSL18-JS-6-MG3",0.924804632358453,"SA18-CB-4-FG6xSL18-JS-6-MG3",NA,0.346583576000004,NA,0.346583576,0.209596833056979
"SA18-CB-5-FG4xSL18-CC-1-MG3",0.0514581330360505,"SA18-CB-5-FG4xSL18-CC-1-MG3",NA,-0.856284585499997,NA,-0.856284585499999,0.0538407316540174
"SA18-CB-5-FG6xSL18-CC-6-MG2",0.338573749675651,"SA18-CB-5-FG6xSL18-CC-6-MG2",NA,-0.800602205999999,NA,-0.800602205999999,0.0180406852292283
"SA18-CB-7-FG1xSL18-LD-1-MG1",0.196290532696597,"SA18-CB-7-FG1xSL18-LD-1-MG1",NA,-1.1264591395,NA,-1.1264591395,0.0329018912017165
"SA18-CB-7-FG1xSL18-LL-9-MG3",-0.0400000000000033,"SA18-CB-7-FG1xSL18-LL-9-MG3",-0.0399999999999994,NA,-0.039999999999995,NA,0.0629208496829502
"SA18-CB-9-FG1xSL18-JS-19-MG1",0.632607996784839,"SA18-CB-9-FG1xSL18-JS-19-MG1",NA,-0.426143038749996,NA,-0.426143038750004,0.0930642676651153
"SA18-CB-9-FG1xSL18-JS-5-MG3",0.0726522989500146,"SA18-CB-9-FG1xSL18-JS-5-MG3",NA,-0.986586094000001,NA,-0.986586094000003,0.0774883625235308
"SA18-CB-9-FG1xSL18-OI-7-MG3",0.904291217068682,"SA18-CB-9-FG1xSL18-OI-7-MG3",NA,-0.277182407000001,NA,-0.277182406999998,0.187645437535272
"SL18-CC-1-FG1xSL18-CC-4-MG11",0.143774240066132,"SL18-CC-1-FG1xSL18-CC-4-MG11",NA,-1.083361213,NA,-1.083361213,-0.0258852972689119
"SL18-CC-1-FG1xSL18-NC-15-MG3",0.539755977066131,"SL18-CC-1-FG1xSL18-NC-15-MG3",NA,-0.687379475999999,NA,-0.687379476000003,0.0275396735982507
"SL18-CC-1-FG1xSL18-OI-16-MG3",-0.0465869053973125,"SL18-CC-1-FG1xSL18-OI-16-MG3",NA,-0.495573153999999,NA,-0.495573154,-0.0760406944645997
"SL18-CC-1-FG2xSL18-NC-11-MG2",-0.0711039789523363,"SL18-CC-1-FG2xSL18-NC-11-MG2",NA,-1.190347955,NA,-1.190347955,-0.0917410789564689
"SL18-CC-1-FG2xSL18-OI-16-MG1",0.378749851489636,"SL18-CC-1-FG2xSL18-OI-16-MG1",NA,-0.88258288649999,NA,-0.882582886499989,-0.0804644122951423
"SL18-CC-1-FG2xSL18-OI-16-MG3",-0.0608364533150164,"SL18-CC-1-FG2xSL18-OI-16-MG3",NA,-1.172084868,NA,-1.172084868,-0.116564497640285
"SL18-CC-1-FG3xSL18-OI-9-MG2",-0.144670430970926,"SL18-CC-1-FG3xSL18-OI-9-MG2",NA,-1.07418665875,NA,-1.07418665875,-0.063586060206119
"SL18-CC-10-FG4xSL18-NC-2-MG2",0.510035598929084,"SL18-CC-10-FG4xSL18-NC-2-MG2",NA,-0.61452332175,NA,-0.614523321750002,0.135206605008249
"SL18-CC-11-FG3xSA18-CB-3-MG3",1.65850658075006,"SL18-CC-11-FG3xSA18-CB-3-MG3",NA,0.657945972000002,NA,0.657945971999999,0.225654871550173
"SL18-CC-11-FG3xSL18-CC-3-MG1",-0.039407464822131,"SL18-CC-11-FG3xSL18-CC-3-MG1",NA,-1.14045616875,NA,-1.14045616875,0.151846205278887
"SL18-CC-11-FG3xSL18-JS-16-MG1",0.416287608029074,"SL18-CC-11-FG3xSL18-JS-16-MG1",NA,-0.513228619749998,NA,-0.513228619750003,0.112419083951666
"SL18-CC-11-FG3xSL18-NC-2-MG3",0.633560181598714,"SL18-CC-11-FG3xSL18-NC-2-MG3",NA,-0.365368541749996,NA,-0.36536854175,0.214544544699883
"SL18-CC-12-FG2xSL18-LL-9-MG4",0.941452459961629,"SL18-CC-12-FG2xSL18-LL-9-MG4",NA,-0.329287190500003,NA,-0.329287190500002,0.198014093530799
"SL18-CC-12-FG2xSL18-OI-15-MG2",0.906267046598715,"SL18-CC-12-FG2xSL18-OI-15-MG2",NA,-0.0926616767499983,NA,-0.0926616767500002,0.275025782208823
"SL18-CC-12-FG3xSL18-NC-11-MG2",-0.0973712539523358,"SL18-CC-12-FG3xSL18-NC-11-MG2",NA,-1.21661523,NA,-1.21661523,0.0123587142622032
"SL18-CC-12-FG3xSL18-OI-15-MG2",0.4808139022919,"SL18-CC-12-FG3xSL18-OI-15-MG2",NA,-0.509195265999998,NA,-0.509195265999997,0.168338440927629
"SL18-CC-12-FG3xSL18-OI-15-MG3",0.0903995025987136,"SL18-CC-12-FG3xSL18-OI-15-MG3",NA,-0.908529220749997,NA,-0.90852922075,0.0806997215920977
"SL18-CC-3-FG1xSL18-JS-11-MG2",-0.182443294641549,"SL18-CC-3-FG1xSL18-JS-11-MG2",NA,-0.760664350999997,NA,-0.760664351000001,-0.0557160269525714
"SL18-CC-3-FG1xSL18-JS-5-MG2",0.840692242319702,"SL18-CC-3-FG1xSL18-JS-5-MG2",NA,-0.229280861999997,NA,-0.229280862000002,-0.0157316437372082
"SL18-CC-3-FG1xSL18-JS-6-MG3",0.34374451803605,"SL18-CC-3-FG1xSL18-JS-6-MG3",NA,-0.563998200499999,NA,-0.563998200499999,0.196774729719013
"SL18-CC-3-FG1xSL18-OI-16-MG2",0.133503713068682,"SL18-CC-3-FG1xSL18-OI-16-MG2",NA,-1.047969911,NA,-1.047969911,0.0142605258379028
"SL18-CC-3-FG2xSA18-CB-10-MG3",1.95023404168499,"SL18-CC-3-FG2xSA18-CB-10-MG3",NA,0.838985627000004,NA,0.838985626999997,0.198292541851357
"SL18-CC-3-FG2xSA18-CB-4-MG2",0.105245827440696,"SL18-CC-3-FG2xSA18-CB-4-MG2",NA,-1.056295817,NA,-1.056295817,0.15350738936135
"SL18-CC-3-FG2xSL18-OD-6-MG1",0.764268028880007,"SL18-CC-3-FG2xSL18-OD-6-MG1",NA,-0.403045111999999,NA,-0.403045112000001,0.14062877352635
"SL18-CC-3-FG2xSL18-OI-11-MG3",0.236301593047662,"SL18-CC-3-FG2xSL18-OI-11-MG3",NA,-0.882942383,NA,-0.882942383,0.0442361899624113
"SL18-CC-3-FG3xSL18-OD-6-MG3",0.442661217047664,"SL18-CC-3-FG3xSL18-OD-6-MG3",NA,-0.676582759000001,NA,-0.676582758999999,0.110270368282697
"SL18-CC-5-FG1xSL18-JS-9-MG1",-0.0049008210499855,"SL18-CC-5-FG1xSL18-JS-9-MG1",NA,-1.064139214,NA,-1.064139214,-0.0606674147343663
"SL18-CC-5-FG2xSA18-CB-10-MG1",1.88964145048964,"SL18-CC-5-FG2xSA18-CB-10-MG1",NA,0.628308712499994,NA,0.628308712499994,0.186764311931612
"SL18-CC-5-FG2xSL18-NC-10-MG2",0.183477920347684,"SL18-CC-5-FG2xSL18-NC-10-MG2",NA,-1.027094146,NA,-1.027094146,-0.00933154295236984
"SL18-CC-5-FG2xSL18-NC-9-MG2",-0.0189189272151628,"SL18-CC-5-FG2xSL18-NC-9-MG2",NA,-1.07766996275,NA,-1.07766996275,0.0559115935768536
"SL18-CC-5-FG3xSA18-CB-1-MG12",0.143213095440696,"SL18-CC-5-FG3xSA18-CB-1-MG12",NA,-1.018328549,NA,-1.018328549,0.0443640193774404
"SL18-CC-5-FG3xSL18-JS-19-MG2",0.0372781926849833,"SL18-CC-5-FG3xSL18-JS-19-MG2",NA,-1.073970222,NA,-1.073970222,-0.0448408937648934
"SL18-CC-5-FG3xSL18-JS-5-MG2",0.0718900482919012,"SL18-CC-5-FG3xSL18-JS-5-MG2",NA,-0.918119120000002,NA,-0.918119119999999,-0.0111032626901133
"SL18-CC-5-FG3xSL18-OI-14-MG1",1.24238629175006,"SL18-CC-5-FG3xSL18-OI-14-MG1",NA,0.241825683000003,NA,0.241825683000001,0.100861300728473
"SL18-CC-6-FG1xSL18-JS-5-MG2",-0.0466192186780184,"SL18-CC-6-FG1xSL18-JS-5-MG2",NA,-1.3560211215,NA,-1.3560211215,-0.116437048576402
"SL18-CC-6-FG2xSL18-OI-11-MG4",0.258002903833778,"SL18-CC-6-FG2xSL18-OI-11-MG4",NA,-1.024777987,NA,-1.024777987,-0.0200538320028824
"SL18-CC-6-FG2xSL18-OI-14-MG1",0.135763131440696,"SL18-CC-6-FG2xSL18-OI-14-MG1",NA,-1.025778513,NA,-1.025778513,0.0381016788842543
"SL18-CC-6-FG3xSL18-JS-9-MG2",-0.105662681494175,"SL18-CC-6-FG3xSL18-JS-9-MG2",NA,-1.235458098,NA,-1.235458098,-0.198563966391288
"SL18-CC-6-FG3xSL18-OI-14-MG2",0.0398134917057782,"SL18-CC-6-FG3xSL18-OI-14-MG2",NA,-1.148659709,NA,-1.14865970900001,-0.045412125830123
"SL18-CC-8-FG1xSL18-NC-8-MG2",-0.110325581238326,"SL18-CC-8-FG1xSL18-NC-8-MG2",NA,-1.3223874475,NA,-1.3223874475,-0.231369221263856
"SL18-CC-8-FG1xSL18-OI-18-MG3",0.0806246675058248,"SL18-CC-8-FG1xSL18-OI-18-MG3",NA,-1.049170749,NA,-1.049170749,-0.156257715536147
"SL18-CC-8-FG1xSL18-OI-7-MG1",-0.14326996551289,"SL18-CC-8-FG1xSL18-OI-7-MG1",NA,-1.12574012425,NA,-1.12574012425,-0.0946443278423198
"SL18-CC-8-FG2xSL18-JS-5-MG3",1.29337900747802,"SL18-CC-8-FG2xSL18-JS-5-MG3",NA,0.243547527000001,NA,0.243547526999999,0.0142376382401201
"SL18-CC-8-FG2xSL18-LD-9-MG1",0.36933785186154,"SL18-CC-8-FG2xSL18-LD-9-MG1",NA,-0.690083812000001,NA,-0.690083811999997,0.0245377306662172
"SL18-CC-8-FG2xSL18-NC-5-MG3",-0.196100125215163,"SL18-CC-8-FG2xSL18-NC-5-MG3",NA,-1.25485116075,NA,-1.25485116075,-0.0860269812783024
"SL18-CC-9-FG3xSL18-JS-9-MG3",0.0112005592546228,"SL18-CC-9-FG3xSL18-JS-9-MG3",NA,-1.169460351,NA,-1.169460351,-0.126140809575337
"SL18-JS-16-FG1xSL18-CC-4-MG11",-0.151354840970926,"SL18-JS-16-FG1xSL18-CC-4-MG11",NA,-1.08087106875,NA,-1.08087106875,-0.115499967116345
"SL18-JS-16-FG1xSL18-LD-2-MG2",-0.215034661963951,"SL18-JS-16-FG1xSL18-LD-2-MG2",NA,-1.1227773805,NA,-1.1227773805,-0.0635899524844815
"SL18-JS-16-FG3xSA18-CB-4-MG3",-0.220389804326765,"SL18-JS-16-FG3xSA18-CB-4-MG3",NA,-1.26268227525,NA,-1.26268227525,-0.108582105940205
