,,component,std.error,z.ratio,bound,%ch,,,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
"trait:vm(Crosses, Gsnp)!trait_bladeLength:bladeLength",bladeLength:bladeLength,7007.800552,3109.427187,2.253727175,?,0.1,,bladeLength,7007.800552,-536.5832482,-526.863985,-306.5255667,-3637.862685
"trait:vm(Crosses, Gsnp)!trait_bladeMaxWidth:bladeLength",bladeMaxWidth:bladeLength,-536.5832482,603.8245942,-0.888640929,?,0.1,,bladeMaxWidth,,199.5959179,-3.657880898,38.95341326,-458.8251043
"trait:vm(Crosses, Gsnp)!trait_bladeMaxWidth:bladeMaxWidth",bladeMaxWidth:bladeMaxWidth,199.5959179,223.7099424,0.892208525,?,0.1,,bladeThickness,,,70.54901977,43.12032772,487.4876626
"trait:vm(Crosses, Gsnp)!trait_bladeThickness:bladeLength",bladeThickness:bladeLength,-526.863985,228.6663287,-2.304073311,?,0.2,,stipeLength,,,,216.6727545,72.68116957
"trait:vm(Crosses, Gsnp)!trait_bladeThickness:bladeMaxWidth",bladeThickness:bladeMaxWidth,-3.657880898,61.20449964,-0.059764902,?,0.3,,stipeDiameter,,,,,6578.519135
"trait:vm(Crosses, Gsnp)!trait_bladeThickness:bladeThickness",bladeThickness:bladeThickness,70.54901977,28.25168121,2.497161823,?,0.2,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeLength:bladeLength",stipeLength:bladeLength,-306.5255667,777.9511448,-0.394016474,?,0.7,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeLength:bladeMaxWidth",stipeLength:bladeMaxWidth,38.95341326,211.5306494,0.184150209,?,0,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeLength:bladeThickness",stipeLength:bladeThickness,43.12032772,79.46692932,0.54261978,?,0.5,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeLength:stipeLength",stipeLength:stipeLength,216.6727545,403.8072167,0.536574745,?,0.3,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeDiameter:bladeLength",stipeDiameter:bladeLength,-3637.862685,1689.545007,-2.153161158,?,0.1,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeDiameter:bladeMaxWidth",stipeDiameter:bladeMaxWidth,-458.8251043,467.3529043,-0.981752975,?,0.1,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeDiameter:bladeThickness",stipeDiameter:bladeThickness,487.4876626,179.1688271,2.720828563,?,0.2,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeDiameter:stipeLength",stipeDiameter:stipeLength,72.68116957,582.3052128,0.124816278,?,2.8,,,,,,,
"trait:vm(Crosses, Gsnp)!trait_stipeDiameter:stipeDiameter",stipeDiameter:stipeDiameter,6578.519135,1552.414199,4.237605621,?,0.1,,,,,,,
units:trait!R,units:trait!R,1,NA,NA,F,0,,,,,,,
units:trait!trait_bladeLength:bladeLength,units:trait!trait_bladeLength:bladeLength,22563.10833,2783.911913,8.104821216,P,0,,,,,,,
units:trait!trait_bladeMaxWidth:bladeLength,units:trait!trait_bladeMaxWidth:bladeLength,1465.726404,616.4227942,2.377793971,P,0,,,,,,,
units:trait!trait_bladeMaxWidth:bladeMaxWidth,units:trait!trait_bladeMaxWidth:bladeMaxWidth,2340.562248,265.1995548,8.825664318,P,0,,,,,,,
units:trait!trait_bladeThickness:bladeLength,units:trait!trait_bladeThickness:bladeLength,-349.3928676,183.4610797,-1.904452258,P,0.1,,,,,,,
units:trait!trait_bladeThickness:bladeMaxWidth,units:trait!trait_bladeThickness:bladeMaxWidth,-161.9204605,57.84603195,-2.799162795,P,0,,,,,,,
units:trait!trait_bladeThickness:bladeThickness,units:trait!trait_bladeThickness:bladeThickness,173.9219498,22.95190021,7.577671049,P,0,,,,,,,
units:trait!trait_stipeLength:bladeLength,units:trait!trait_stipeLength:bladeLength,-771.0653224,791.1327084,-0.974634615,P,0.1,,,,,,,
units:trait!trait_stipeLength:bladeMaxWidth,units:trait!trait_stipeLength:bladeMaxWidth,5.509429149,243.4847564,0.022627409,?,0,,,,,,,
units:trait!trait_stipeLength:bladeThickness,units:trait!trait_stipeLength:bladeThickness,170.9946202,74.8233191,2.285311883,P,0.1,,,,,,,
units:trait!trait_stipeLength:stipeLength,units:trait!trait_stipeLength:stipeLength,3697.579951,450.3014482,8.211343681,P,0,,,,,,,
units:trait!trait_stipeDiameter:bladeLength,units:trait!trait_stipeDiameter:bladeLength,-1708.518762,1104.36036,-1.547066359,P,0.1,,,,,,,
units:trait!trait_stipeDiameter:bladeMaxWidth,units:trait!trait_stipeDiameter:bladeMaxWidth,-805.8789928,350.1902759,-2.301260339,P,0,,,,,,,
units:trait!trait_stipeDiameter:bladeThickness,units:trait!trait_stipeDiameter:bladeThickness,516.6381145,113.7981618,4.539951315,P,0.1,,,,,,,
units:trait!trait_stipeDiameter:stipeLength,units:trait!trait_stipeDiameter:stipeLength,366.0946403,446.2153251,0.820443897,P,0.2,,,,,,,
units:trait!trait_stipeDiameter:stipeDiameter,units:trait!trait_stipeDiameter:stipeDiameter,5311.070861,813.5274487,6.528447035,P,0,,,,,,,
