"","AshFDwPM","AshOnly","DWpM","WWP","PDW"
"SL18-OI-4",0.0978268006829766,0.125753795617687,0.0190740650018029,0.0122483939995525,0.264537360586595
"SL18-OI-5",-0.02917292235554,-1.03159559109363,-0.108628459472638,-0.415130226058181,0.165295150500739
"SL18-OI-6",0.200603890324151,-1.29841315980908,0.166190222700464,0.382110139603416,0.564138979844363
"SL18-OI-11",0.0770759796231766,-0.0383788464920857,0.0339197335583633,0.166879215843755,0.0463875011302337
"SL18-OI-15",0.0713393026981473,-0.474692236346896,0.0962896169072987,0.370115539709677,0.0975268153624551
"SL18-OI-16",-0.0311957029477276,-0.0706910755833004,-0.0681353903938159,-0.173223161005579,0.144362865416231
"SL18-OI-17",0.0920719186775343,-0.146839830961479,0.0147492165186249,0.00119207890814385,-0.0161428661159256
"SL18-OI-18",0.0302245799093072,-0.767440617061256,-0.0132934707131623,-0.0924550233912387,0.306980389594704
"SL18-LD-1",0.0484363357509413,-0.165710055261739,-0.0531831659763579,-0.286590836505947,0.253419112396814
"SL18-LD-3",0.000249963097233199,0.247575901458412,-0.0202623352981295,-0.102626095010179,0.120930886187605
"SL18-LD-4",0.0160265290812813,-0.0514788835513642,-0.0280915835989306,-0.134318481252987,0.126378136840868
"SL18-LD-5",-0.0164617248314263,-0.115116477757691,-0.0493969733318015,-0.0482669322346026,-0.025422558235899
"SL18-LD-9",0.0069156555179753,-0.25545394176339,-0.00465771989979014,-0.0366427585427033,0.0835583710501037
"SL18-LD-10",-0.00618655356696384,0.18340908826132,0.00967901294880249,0.0190719737053315,0.0909579816022151
"SL18-LD-13",-0.0698817296031129,-0.449888193764231,-0.0369981788300386,-0.10861169011201,0.106544782617889
"SL18-FW-2",0.0379298296173419,-0.0839299542602354,0.0507510520007205,0.150103293873782,0.0225551933224874
"SL18-FI-1",0.029899526798362,-0.162109974528389,0.044357062483569,0.125850442735985,0.0211850082887917
"SL18-FI-2",0.0190248893452311,-0.111224707963754,0.0328383457260937,0.0921092129220586,0.0203853815206754
"SL18-CC-1",-0.039302838785444,0.871083592009066,-0.000851769333560257,0.0259777483985264,0.0633490614572692
"SL18-CC-2",0.0281118387587313,0.279920423415903,0.104529949838857,0.336073862225368,-0.148299093096321
"SL18-CC-3",0.0539871390369325,0.0859917740868223,0.0872967164419226,0.197199587266188,0.0684241184862233
"SL18-CC-4",-0.0197917406545732,0.138903720160019,0.00274858840876833,0.0375286727991712,-0.0633281347682661
"SL18-CC-5",0.138326147007486,0.543433189258237,0.093987769188306,0.371025809887549,-0.204885785737507
"SL18-CC-6",-0.0272124172632103,0.390714365568455,-0.0390134630236677,0.000404898918659002,-0.134392473788652
"SL18-CC-7",0.0312594599722694,0.5001633103403,0.0862055786146195,0.325337704519178,-0.105932531997608
"SL18-CC-8",-0.100013457848994,-0.329030617257885,-0.0466427167389579,-0.0794539187975761,-0.159791396205293
"SL18-CC-9",-0.0485842027366974,0.318342983999763,0.00391210938261669,0.027203814886123,-0.0783792531013777
"SL18-CC-12",0.159627016592189,0.712464074776405,0.165905425918837,0.520324205387099,-0.019652207622262
