"","varE","varGCA1","varGCA2","varSCA"
"wetWgtPerM",7.31365713125,3.6863381525,1.76478245375,6.46251340875
"percDryWgt",5.19112231875,1.90714752125,1.65635282,6.58636480875
"dryWgtPerM",0.10369560425,0.056272519875,0.0210316824125,0.087686452975
"Ash",13.5649377125,9.0083518625,5.73516734125,17.614964275
"AshFDwPM",0.0521478589875,0.02495249515,0.011364399,0.0602060772125
"densityBlades",17419.39435,5762.94649875,4112.1682575,14147.968425
"bladeLength",22964.374275,7385.30235,9328.09189,20322.8300375
"bladeMaxWidth",2190.1603375,567.473827125,539.892557,2199.6121075
"bladeThickness",177.458531875,105.326075125,89.435172675,179.52461675
"stipeLength",3298.384665,606.873799125,1767.1495275,2947.431565
"stipeDiameter",4501.624395,9680.877085,3058.32603125,4866.50496625
