"","varE","varGCA1","varGCA2","varSCA"
"wetWgtPerM",2.43783508125,0.664768112875,0.365172672,1.00636074775
"percDryWgt",1.22019469625,0.311187565375,0.27398183475,1.2758596625
"dryWgtPerM",0.0356123972375,0.00993877993875,0.00465282062375,0.0135943445875
"Ash",2.5659117275,1.004356502625,0.8343847765,2.70990819
"AshFDwPM",0.010659097225,0.00388224705,0.00235081552625,0.008083565795
"densityBlades",6347.8699525,1144.840155,815.773836125,2156.65425
"bladeLength",7635.72202375,1205.77131875,1465.74604,3062.8001225
"bladeMaxWidth",612.257161375,105.931934125,106.740635,314.986962625
"bladeThickness",53.974936375,17.5465597375,14.9105325375,31.3274627
"stipeLength",1011.3582535,127.808255625,225.838475625,429.204785125
"stipeDiameter",1645.70496,3836.98567625,573.012995125,1228.78785
