,Sample.ID,Name_InPheno,Name_InGeno,Chosen.Reason,Plate,Location,Region,Parent,OC_DwPM,BV_DwPM,BV_BD,Select,FG_Progeny_SP_Category,MG_Progeny_SP_Category,GP_itself_Category,GP_itself_Category
191,SA-CB-9-FG-1,SA18-CB-9-FG1,SA18-CB-9-FG1,1_2_plates,1_2,CB,GOM,SA18-CB-9,0.038653788,0.188286433,-7.142841608,Top20_OC_DwPM,High_DWpM_Low_BD_BVs,NA,GP_highDWpM_lowBD,NA
48,SL-OI-6-FG-2,SL18-OI-6-FG2,SL18-OI-6-FG2,Biomass,3,OI,GOM,SL18-OI-6,0.032401089,0.408099709,-3.708620023,Top20_OC_DwPM,High_DWpM_Low_BD_BVs,NA,GP_highDWpM_lowBD,NA
233,SL-NL-6-FG-1,SL18-NL-6-FG1,SL18-NL-6-FG1,1_2_plates,1_2,NL,GOM,SL18-NL-6,0.031677397,0.100923848,215.9132191,Top20_OC_DwPM,High_BD_Low_DWpM_BVs,NA,NA,GP_lowDWpM_highBD
62,SL-CC-12-FG-2,SL18-CC-12-FG2,SL18-CC-12-FG2,Diversity,3,CC,GOM,SL18-CC-12,0.031420163,0.344428801,72.76003702,Top20_OC_DwPM,NA,NA,NA,NA
157,SA-CB-7-MG-2,SA18-CB-7-MG2,SA18-CB-7-MG2,1_2_plates,1_2,CB,GOM,SA18-CB-7,0.029825715,0.245628841,59.70154283,Top20_OC_DwPM,NA,NA,NA,NA
84,SL-JS-6-MG-3,SL18-JS-6-MG3,SL18-JS-6-MG3,Biomass,3,JS,GOM,SL18-JS-6,0.021841037,0.292161925,-7.905244999,Top20_OC_DwPM,NA,High_DWpM_Low_BD_BVs,GP_highDWpM_lowBD,NA
243,SL-OI-11-FG-3,SL18-OI-11-FG3,SL18-OI-11-FG3,1_2_plates,1_2,OI,GOM,SL18-OI-11,0.021834414,0.239969464,18.81872337,Top20_OC_DwPM,NA,NA,GP_highDWpM_lowBD,NA
273,SL-SF-13-FG-2,SL18-SF-13-FG2,SL18-SF-13-FG2,1_2_plates,1_2,SF,GOM,SL18-SF-13,0.020439306,0.279082035,39.50699391,Top20_OC_DwPM,NA,NA,NA,NA
22,SL-JS-6-MG-2,SL18-JS-6-MG2,SL18-JS-6-MG2,Diversity,3,JS,GOM,SL18-JS-6,0.019782724,0.269236924,-4.602750465,Top20_OC_DwPM,NA,High_DWpM_Low_BD_BVs,GP_highDWpM_lowBD,NA
19,SA-CB-10-MG-3,SA18-CB-10-MG3,SA18-CB-10-MG3,Diversity,3,CB,GOM,SA18-CB-10,0.019433443,0.223006347,11.72140937,Top20_OC_DwPM,NA,NA,GP_highDWpM_lowBD,NA
64,SA-CB-2-FG-3,SA18-CB-2-FG3,SA18-CB-2-FG3,Diversity,3,CB,GOM,SA18-CB-2,0.017231208,0.105250409,-18.58843599,Top20_OC_DwPM,High_DWpM_Low_BD_BVs,NA,NA,NA
250,SL-OI-17-FG-4,SL18-OI-17-FG4,SL18-OI-17-FG4,1_2_plates,1_2,OI,GOM,SL18-OI-17,0.016350913,0.137086759,-1.701561397,Top20_OC_DwPM,High_DWpM_Low_BD_BVs,NA,NA,NA
245,SL-OI-15-MG-2,SL18-OI-15-MG2,SL18-OI-15-MG2,1_2_plates,1_2,OI,GOM,SL18-OI-15,0.015218875,0.205622787,62.65888342,Top20_OC_DwPM,NA,NA,NA,NA
96,SA-CB-1-MG-2,SA18-CB-1-MG2,SA18-CB-1-MG2,1_2_plates,1_2,CB,GOM,SA18-CB-1,0.014209687,0.062339008,29.4598066,Top20_OC_DwPM,NA,NA,NA,NA
226,SL-NL-2-FG-1,SL18-NL-2-FG1,SL18-NL-2-FG1,1_2_plates,1_2,NL,GOM,SL18-NL-2,0.014162015,0.00584272,6.233774513,Top20_OC_DwPM,High_BD_Low_DWpM_BVs,NA,NA,NA
170,SL-LD-1-FG-2,SL18-LD-1-FG2,SL18-LD-1-FG2,1_2_plates,1_2,LD,GOM,SL18-LD-1,0.013758505,-0.026032225,-10.83133925,Top20_OC_DwPM,NA,NA,NA,NA
117,SA-CB-3-MG-3,SA18-CB-3-MG3,SA18-CB-3-MG3,1_2_plates,1_2,CB,GOM,SA18-CB-3,0.012213093,0.155804832,69.2829719,Top20_OC_DwPM,NA,NA,NA,NA
14,SL-CC-7-MG-1,SL18-CC-7-MG1,SL18-CC-7-MG1,Biomass,3,CC,GOM,SL18-CC-7,0.012099855,0.125840368,20.16967735,Top20_OC_DwPM,NA,NA,NA,NA
57,SL-CC-3-FG-2,SL18-CC-3-FG2,SL18-CC-3-FG2,Diversity,3,CC,GOM,SL18-CC-3,0.012062599,0.173578227,12.67376274,Top20_OC_DwPM,High_DWpM_Low_BD_BVs,NA,GP_highDWpM_lowBD,NA
100,SL-LD-3-FG-2,SL18-LD-3-FG2,SL18-LD-3-FG2,1_2_plates,1_2,LD,GOM,SL18-LD-3,0.011589167,-0.053575196,-11.46495298,Top20_OC_DwPM,NA,NA,NA,NA
143,SL-LL-9-MG-4,SL18-LL-9-MG4,SL18-LL-9-MG4,1_2_plates,1_2,LL,GOM,SL18-LL-9,0.01067403,0.051599076,44.20637512,,NA,NA,NA,NA
179,SL-CC-1-MG-3,SL18-CC-1-MG3,SL18-CC-1-MG3,1_2_plates,1_2,CC,GOM,SL18-CC-1,0.010471063,0.102124606,-7.517050599,,NA,High_DWpM_Low_BD_BVs,NA,NA
272,SL-SF-17-FG-2,SL18-SF-17-FG2,SL18-SF-17-FG2,1_2_plates,1_2,SF,GOM,SL18-SF-17,0.010242654,0.099560853,6.771576945,,High_DWpM_Low_BD_BVs,NA,NA,NA
131,SL-LD-10-FG-1,SL18-LD-10-FG1,SL18-LD-10-FG1,1_2_plates,1_2,LD,GOM,SL18-LD-10,0.01009873,-0.02753197,-36.96560505,,NA,NA,NA,NA
59,SL-CC-5-FG-2,SL18-CC-5-FG2,SL18-CC-5-FG2,Diversity,3,CC,GOM,SL18-CC-5,0.009854686,0.176052854,4.747023823,GP_highDWpM_lowBD,High_DWpM_Low_BD_BVs,NA,GP_highDWpM_lowBD,NA
