Culture ID,Culture Code,Location,Updated Species 2019,Form,Tray ID,Biomass,Shelf / Location,Observations,Last Media Change
SL18-SF-17-FG2,SL18-SF-17-FG-2,Sullivan Falls,S. latissima,Backup Vial,1010B,L,C6L,,12/29/2020
SL18-SF-17-FG3,SL18-SF-17-FG-3,Sullivan Falls,S. latissima,Backup Vial,1010B,L,C6L,,12/29/2020
SL18-SF-18-FG2,SL18-SF-18-FG-2,Sullivan Falls,S. latissima,Backup Vial,1010B,L,C6L,,12/29/2020
SL18-SF-13-FG1,SL18-SF-13-FG-1,Sullivan Falls,S. latissima,Backup Vial,1010B,L,C6L,,12/29/2020
SL18-SF-13-FG2,SL18-SF-13-FG-2,Sullivan Falls,S. latissima,Backup Vial,1010B,L,C6L,,12/29/2020
SL18-OI-2-FG2,SL18-OI-2-FG-2,Orr's Island,S. latissima,Backup Vial,1008B,M,C6L,,11/16/2020
SL18-OI-2-FG3,SL18-OI-2-FG-3,Orr's Island,S. latissima,Backup Vial,1008B,M,C6L,,11/16/2020
SL18-OI-2-FG4,SL18-OI-2-FG-4,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-4-FG2,SL18-OI-4-FG-2,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,Dup,11/16/2020
SL18-OI-5-FG5,SL18-OI-5-FG-5,Orr's Island,S. latissima,Backup Vial,1008B,M,C6L,,11/16/2020
SL18-OI-6-FG2,SL18-OI-6-FG-2,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-6-FG3,SL18-OI-6-FG-3,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-9-FG1,SL18-OI-9-FG-1,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-9-FG2,SL18-OI-9-FG-2,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-9-FG3,SL18-OI-9-FG-3,Orr's Island,S. latissima,Backup Vial,1008B,H,C6L,,11/16/2020
SL18-OI-15-FG1,SL18-OI-15-FG-1,Orr's Island,S. latissima,Backup Vial,1008B,M,C6L,,11/16/2020
SL18-OI-15-FG2,SL18-OI-15-FG-2,Orr's Island,S. latissima,Backup Vial,1008B,M,C6L,,11/16/2020
SL18-OI-15-FG3,SL18-OI-15-FG-3,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-16-FG1,SL18-OI-16-FG-1,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-16-FG2,SL18-OI-16-FG-2,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-16-FG3,SL18-OI-16-FG-3,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-17-FG1,SL18-OI-17-FG-1,Orr's Island,S. latissima,Backup Vial,1008B,M,C6L,,11/16/2020
SL18-OI-17-FG3,SL18-OI-17-FG-3,Orr's Island,S. latissima,Backup Vial,1008B,L,C6L,,11/16/2020
SL18-OI-18-FG1,SL18-OI-18-FG-1,Orr's Island,S. latissima,Backup Vial,1007B,L,C6L,,11/16/2020
SL18-OI-18-FG4,SL18-OI-18-FG-4,Orr's Island,S. latissima,Backup Vial,1007B,L,C6L,,11/16/2020
SL18-OI-18-FG6,SL18-OI-18-FG-6,Orr's Island,S. latissima,Backup Vial,1007B,M,C6L,,11/16/2020
SL18-LD-2-FG3,SL18-LD-2-FG-3,Lubec Dock,S. latissima,Backup Vial,1001B,L,C6L,,11/16/2020
SL18-LD-3-FG1,SL18-LD-3-FG-1,Lubec Dock,S. latissima,Backup Vial,1001B,M,C6L,,11/16/2020
SL18-LD-5-FG2,SL18-LD-5-FG-2,Lubec Dock,S. latissima,Backup Vial,1001B,L,C6L,,11/16/2020
SL18-LD-10-FG2,SL18-LD-10-FG-2,Lubec Dock,S. latissima,Backup Vial,1001B,M,C6L,,11/16/2020
SL18-LD-13-FG1,SL18-LD-13-FG-1,Lubec Dock,S. latissima,Backup Vial,1001B,H,C6L,,11/16/2020
SL18-LD-13-FG2,SL18-LD-13-FG-2,Lubec Dock,S. latissima,Backup Vial,1001B,M,C6L,,11/16/2020
SL18-LD-13-FG3,SL18-LD-13-FG-3,Lubec Dock,S. latissima,Backup Vial,1001B,L,C6L,,11/16/2020
SL18-LD-14-FG3,SL18-LD-14-FG-3,Lubec Dock,S. latissima,Backup Vial,1001B,L,C6L,,11/16/2020
SL18-LL-9-FG1,SL18-LL-9-FG-1,Lubec Lighthouse,S. latissima,Backup Vial,1010B,M,C6L,,12/29/2020
