"","AshFDwPM","AshOnly","DWpM","WWP","PDW","BD"
"SL18-OI-4",0.0395816508924109,0.147484339547251,0.0208440014333222,0.0172224228777225,0.233362622485628,33.1741422830894
"SL18-OI-5",-0.0261333087226727,-0.517869018749955,-0.108217249817316,-0.418733234078868,0.178866085079249,-17.0893072940095
"SL18-OI-6",0.201118603033298,-0.852990876054434,0.161119823868742,0.36149848513198,0.537311020923908,-24.96658065234
"SL18-OI-11",0.0313771003681034,0.280046453346344,0.0287832755486802,0.141646512722228,0.0469475076907072,9.48403659990963
"SL18-OI-15",0.0684301547630222,0.257598232258979,0.0922486410141062,0.355752018853554,0.0839606177218433,51.4822956978571
"SL18-OI-16",-0.0471143926412076,0.12018366105855,-0.0692605024953058,-0.183774400072533,0.147091691180414,13.3667278974005
"SL18-OI-17",0.0426805464061256,-0.370926313408786,0.0185454445458299,0.0183210800432488,-0.0330253636332004,-8.22206861516602
"SL18-OI-18",-0.00254196833381432,-0.221559334334201,-0.0140512515080098,-0.0912847511220565,0.277400645819869,-43.4658660186656
"SL18-LD-1",0.0193006439047968,-0.178449568755957,-0.0556207934929568,-0.291749174071014,0.235863370781658,-17.2087408504869
"SL18-LD-3",0.00682697342008818,0.157033252448008,-0.020908855261182,-0.101297951043988,0.100342220968235,-7.38678303468507
"SL18-LD-4",0.0234898788429557,0.0427417856052643,-0.0281475059297057,-0.129913182541453,0.0972099221705723,-8.96146306878013
"SL18-LD-5",-0.00736767315176706,-0.0954930669091574,-0.0566806301710876,-0.0812184704896004,-0.0137218028792033,-18.1172499524306
"SL18-LD-9",0.0064920285051873,-0.144446662894443,-0.00959394122935976,-0.0604730868361885,0.0918190555050059,-29.5106618345719
"SL18-LD-10",0.0172232727429082,0.146987163869843,0.00787966086003632,0.0184791037262174,0.0718084280116122,8.83013383163338
"SL18-LD-13",-0.0419842184435567,-0.250406071621128,-0.0388473014169929,-0.122877173683594,0.108287357854684,23.6033506581518
"SL18-FW-2",-0.0125091687608537,-0.799978871828482,0.0482038118074797,0.139353703643248,0.0255519289139274,15.3917278447234
"SL18-FI-1",-0.0142424441173023,-0.980862509661234,0.0427426547210942,0.125597164725166,0.00948552729010844,18.6000834508254
"SL18-FI-2",-0.0154677773411514,-0.875742791553752,0.0428668834852816,0.132246501638612,0.00901936853571651,15.3896570383554
"SL18-CC-1",-0.0059694982041566,1.44207839945067,-0.000872857608637332,0.0239310608712858,0.063162120832329,3.41534340107345
"SL18-CC-2",0.0691775444611602,0.393571010395594,0.103644559972697,0.330775218100851,-0.129913630269717,1.59283775598338
"SL18-CC-3",0.0754949365741434,0.126895457456655,0.0837671103829792,0.184190221290858,0.0834247589797776,-3.44972965560669
"SL18-CC-4",0.0104079600889948,0.284534882390056,-0.00350531636006222,0.00976753336494379,-0.0453526759937853,-12.3247303761395
"SL18-CC-5",0.0856927979644046,0.476822649518295,0.0951491220183677,0.370098235181482,-0.177810532100053,-7.56809302044974
"SL18-CC-6",-0.0263466320880575,0.670255886102273,-0.037474756507494,-0.00245875041450667,-0.104290261622659,-23.0378610462374
"SL18-CC-7",0.0473735236450491,0.240069246037606,0.0832101791551286,0.311980109001179,-0.0944885060503588,9.42446542692317
"SL18-CC-8",-0.0212323419233411,-0.101688219709833,-0.0472611078671636,-0.0844993275948018,-0.139902481199769,-9.84368382332338
"SL18-CC-9",0.00857167073156414,0.313795976918375,0.00200026019321455,0.0228336659495796,-0.0762743988416493,0.0339388626023788
"SL18-CC-12",0.108536762978005,0.681985320935351,0.166081977859518,0.516143944134354,-0.00540642456391202,39.146140509078
"SL18-FW-14",-0.0169632750432663,-0.83343364147722,0.0402712678494944,0.0987455399333353,0.0396470478091756,9.581705741682
"SL18-NC-2",0.0586307667098861,0.735373602402117,0.102653620510461,0.35029706308331,-0.0949919108080575,11.4465844859527
"SL18-NC-1",-0.0445488477377145,-0.0473354368270025,-0.0848964709084225,-0.252439355638984,-0.0675034541333044,-9.30474915139234
"SL18-NC-5",-0.0808482356164045,1.05058326931496,-0.160918172642269,-0.604952322896014,-0.196770305568493,-20.2999895558906
"SL18-JS-6",0.0920425361537971,0.288730430761439,0.159114658295349,0.304700238629999,0.596596914502098,-11.2085056027693
"SL18-JS-5",-0.0445875170365889,0.266704870185395,-0.0896814985673936,-0.17156399154251,-0.327445908449099,-28.9357441708358
"SL18-JS-9",-0.0966050793749392,0.424888130260107,-0.178675740598057,-0.516151422086536,-0.132216941603167,-26.3867117672585
"SL18-NC-8",-0.0639925351541432,0.561361105569196,-0.115577450500563,-0.337921132757994,0.0168793835475936,-25.5097419348319
"SL18-NC-10",-0.0883266787111236,0.239242814682194,-0.153001206848261,-0.348847025689044,-0.511197218783444,-9.92024857187181
"SL18-NC-9",-0.0378992687844753,-0.140995020582592,-0.0474302247917647,-0.0605192879902571,0.100252855638981,-11.7841386247367
"SL18-NC-12",-0.0668183848966161,0.411469988435313,-0.0908291475141981,-0.20773875515185,-0.0466025514133766,-13.6218420919773
"SL18-NL-2",-0.0655464893077461,0.282377625667442,-0.0670084771846827,-0.218379733613925,-0.0793482099190831,-15.5179025207962
"SL18-NL-3",-0.038333265336988,1.1350180701584,-0.0506349208922269,-0.110909658812887,-0.150773972249826,-20.1811644680431
"SL18-NL-5",-0.00655140336699267,0.543270814845735,-0.0445827281529363,-0.251060452617609,-0.043814014652291,-9.61904424585178
"SL18-NL-7",-0.0441239617349855,0.95038558435467,-0.0847022915270078,-0.381353106821083,0.054290526892405,-39.4305195372951
"SL18-NL-6",-0.020474667730295,0.391228921519158,0.00939992943608605,0.105575013065404,-0.22062924707059,75.2136295688721
"SL18-NL-9",-0.0368173851630528,0.397468468666449,-0.0649029412245066,-0.160913323654227,-0.312766763793433,-6.95757385331619
"SL18-NL-10",-0.0313864204269419,0.388150476757833,-0.0565301683599268,-0.234466304081381,-0.0906647385152591,14.7414711712611
"SL18-JS-19",-0.0778804824393676,0.0174681594902117,-0.112380918048911,-0.262964398390492,-0.0347548018756395,-48.9957159348169
"SL18-JS-16",-0.0676425501613458,0.701759714372091,-0.101862653986402,-0.238649259726716,-0.0752305402596146,-23.9654825862855
"SL18-JS-11",-0.0577957532755348,0.193959341602429,-0.104089355598122,-0.340225083044177,-0.185755729492759,0.737244294893375
"SL18-BL-10",-0.0250963507388768,-0.90058944955701,0.0265296175529841,0.0866359252353058,0.00871046489949699,15.1546020753969
"SL18-BL-11",-0.0126311372055425,-0.965503873748478,0.0429849497999088,0.125267140885873,0.0168985825660896,14.9719642293675
"SL18-BL-12",-0.00976422060684191,-0.898140625747984,0.0479842444093089,0.139238168741734,0.0563479495206849,14.7724384588149
"SL18-BL-13",-0.0179070840681867,-0.844565161684084,0.0433839804521098,0.142779291858395,0.00777936998767371,14.6157828168691
"SL18-BL-14",-0.0148364437385019,-0.948064922563698,0.0413550109868774,0.117832169337919,0.0324005806734125,11.676782684947
"SL18-BL-15",-0.0158799190363542,-0.958679423792594,0.0410988159879061,0.12448344183992,0.0293042666891727,15.3506524034533
"SL18-BL-16",-0.00416029608775618,-0.916985190895423,0.0617802523723797,0.174350606111887,0.0977634173349417,12.8866920469968
"SL18-CC-10",0.0545738236138642,0.130124273430151,0.0709353674982779,0.212795491433584,0.0170600186215727,-2.35922475973923
"SL18-CC-11",0.132151371717429,0.624832141252136,0.187287624197078,0.634964734540569,-0.171677835173853,71.2774383306925
"SL18-SF-13",0.0482445989789414,0.22429671490601,0.0944926620581342,0.288514048847694,0.148753974746233,21.89631898585
"SL18-OI-2",0.00728822280153593,-0.0653856294880026,-0.0408299104922113,-0.14228543297629,0.15504987537016,-16.5137163414194
"SL18-OI-14",0.0489503495279466,0.642433500273694,0.0504284119754442,0.0656860039826784,0.108744887053714,-37.0592041920493
"SL18-PI-1",-0.0344683239823295,-0.685347187248861,0.0144243709957123,0.0566316629442795,-0.027046812237674,13.4348429923399
"SA18-CB-1",0.0407200848437941,-0.408255558121111,0.032593537768343,0.110468356388414,-0.0231669431888043,10.0021480178265
"SA18-CB-3",0.080534168891343,0.329708943274195,0.0619765129103168,0.159683416141934,-0.237964871133129,31.4874421090758
"SA18-CB-4",0.083925092995763,0.413787497684466,0.0438294488644463,0.142791101480528,-0.192077248915223,-31.8335548074671
"SA18-CB-7",0.145805263901492,-0.228368433973226,0.156937126251328,0.418026384046754,0.0270562381274095,16.6626110098337
"SA18-CB-10",0.17869821580222,-0.537398012612873,0.142392127586024,0.343210758157448,-0.0775529804062089,2.52276186505446
"SL18-NC-11",-0.0497254594203206,0.0962428914683687,-0.0856330527028207,-0.196780733049534,-0.0607438516368126,-10.2921509375334
