"","DWpM","WWpM","PDW","BD"
"SL18-OI-4",0.0156765019385413,0.0253282485411905,0.136898782720108,16.3446662819256
"SL18-OI-5",-0.0511627935319432,-0.250957013255276,0.110122840328268,-18.1086391205391
"SL18-OI-6",0.085453385100831,0.220866046626412,0.293850275286826,-26.9871675127365
"SL18-OI-11",0.0258930172373716,0.134209758241833,-0.00805714311715325,-8.95727187056601
"SL18-OI-15",0.0625542797955969,0.216733633658909,0.0356765756726747,18.9013212550206
"SL18-OI-16",-0.0778397486337514,-0.188929128181244,0.0748570710970116,-2.93671239276703
"SL18-OI-17",-0.000549088808709813,-0.0146773375032021,0.00596508773880971,-20.0263894199062
"SL18-OI-18",-0.00380264152944338,-0.0506371471926457,0.18402799119474,-38.5209112870817
"SL18-LD-1",-0.0327533237663954,-0.195288118105523,0.164477249989047,-22.2555697259678
"SL18-LD-3",-0.00416885325273731,-0.0408529183525028,0.0788491081695093,-8.76038973149218
"SL18-LD-4",-0.00725203631922264,-0.0692197733758887,0.0778787495005675,-11.7832276223501
"SL18-LD-5",-0.0222724892594728,-0.0617427180125807,0.0272600593494409,-21.9125623257755
"SL18-LD-9",0.00219453071209187,-0.0551609415079681,0.081902177345461,-27.9485183824778
"SL18-LD-10",0.0106857353477612,-0.00361538428330708,0.0603072373731558,2.47179965528572
"SL18-LD-13",-0.0314940134711413,-0.103634956401622,0.0832066209837613,8.21195050119934
"SL18-FW-2",0.047076035633354,0.131972233032031,0.0127766212328729,13.2437897278202
"SL18-FI-1",0.0422290269362459,0.127255431875722,0.000924465597348701,12.6884062434403
"SL18-FI-2",0.0412744527229517,0.122229760056591,0.00137772431578653,11.7150174235665
"SL18-CC-1",0.0307083572137671,0.0781322893109456,0.032431987514289,6.90355754883683
"SL18-CC-2",0.023609628118184,0.135068551334518,-0.124575906441196,-8.14246148887281
"SL18-CC-3",0.131176007308094,0.294333497285524,-0.0156358288993833,12.5531430181375
"SL18-CC-4",0.00457460283674436,0.0145543570610069,-0.0399814334772554,-5.60102223732011
"SL18-CC-5",0.0125270562781096,0.118341759143488,-0.113332180059386,-6.03395799536794
"SL18-CC-6",0.0272823269542711,0.104318223689053,-0.0485668388599315,-12.6409580451309
"SL18-CC-7",-0.00664876642685322,0.0946523973250699,-0.0661632286521519,10.3296080817724
"SL18-CC-8",-0.0236581081840387,-0.0621125360997971,-0.07696663440546,-0.641415932827891
"SL18-CC-9",-0.0116221751157129,0.00315255195589595,-0.0486485890426367,-1.31505367075013
