"","CC","NC","NL","JS","OI","SF","LD","CB"
"wetWgtPerM",-0.00447298750712123,0.435060292640612,0.178055348925385,-0.178902463428996,0.0298470952490713,-0.00530455362250254,0.414895355121322,0.029847897899871
"percDryWgt",-0.130932578486405,0.332667451120666,0.118173182837941,0.32690907908122,-0.113121861150541,0.0444225380660773,-0.101195899014776,-0.0338243352907551
"dryWgtPerM",-0.077772522539991,0.198425342509065,0.124245932992209,0.0228482172638139,-0.0605618450752303,-0.054731496587852,0.296588474856072,-0.118142362101574
"Ash",-0.00935592840451573,-0.0445236702133688,0.0221419878240818,0.133697355699824,0.179705735720269,-0.291029982630256,0.0162406953653012,-0.0513297127649781
"AshFDwPM",-0.02826318675465,0.325457575899111,-0.0622086103721557,0.133166013354331,-0.20243792257963,-0.0546433099417581,0.124038842407368,-0.226201856453562
"bladeLength",-0.279412809438305,0.155634475822478,-0.104957398903698,0.272605312374211,0.243200441713092,0.451419156924832,0.45615443845961,-0.054878934060585
"bladeMaxWidth",0.141955257890754,0.0082048929603002,0.0748040753595994,0.237895435160569,0.0934305698681221,-0.32989402213933,-0.0279329253358176,0.31577815623725
"bladeThickness",0.144405374885641,-0.0490478634464793,0.246152594270566,0.0468944894931951,0.131391990686168,-0.0584381234987457,0.287438300089413,0.36206960418219
"stipeLength",0.234093149119219,-0.156273158960615,0.16929039222757,0.241257573765479,0.0618261528840996,0.104061128041367,-0.133164814401345,0.186140384955628
"stipeDiameter",0.0766448075071635,-0.00304934984590234,0.380916685389286,-0.28996192719202,-0.0690949795207181,-0.617787647287742,0.140133135414666,-0.275422371133861
