,wetWgtPerM,percDryWgt,dryWgtPerM,Ash,AshFDwPM,densityBlades,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
1,0.179569266,0.059070471,0.147801016,0.059516781,0.145021686,0.166498203,0.138545034,-0.104319775,0.378076979,-0.06308134,0.465527786
2,0.131632049,0.078480259,0.114400496,0.052000808,0.111905856,0.130024432,0.108300165,-0.101272947,0.351465734,0.112934495,0.430867586
3,0.23231881,0.063933759,0.221261113,0.034579197,0.229114717,0.155684219,0.137953672,-0.08118925,0.363511518,0.109745719,0.505442443
4,0.159497016,0.089005906,0.149270594,0.175922295,0.155917521,0.113362559,0.142191177,-0.082195042,0.384030311,0.064986779,0.491007578
5,0.150110666,0.039580534,0.108906008,0.039700408,0.114717956,0.097919011,0.136405424,-0.08827829,0.409052662,0.048423352,0.490634418
6,0.146168585,0.103886853,0.135434174,0.058854316,0.144927193,0.109495785,0.150685385,-0.169950749,0.381781395,0.025751392,0.49714737
7,0.201665082,0.07703752,0.191486993,0.098703278,0.189802044,0.145091271,0.091576316,-0.17193963,0.365226274,-0.022309219,0.489478966
8,0.199684404,0.097543791,0.199359389,0.087646999,0.215118067,0.146087198,0.111211199,-0.082169271,0.405593108,0.083332095,0.513612569
9,0.188429266,0.060159304,0.184536224,0.051791886,0.194581157,0.084819596,0.138105419,-0.097953473,0.413180942,0.021973582,0.525930976
10,0.236033691,0.054141872,0.224977608,0.121769861,0.209373596,0.159127718,0.12526534,-0.109669595,0.420482184,0.115533137,0.541403693
11,0.195957927,0.097916687,0.179405663,0.097454609,0.188962226,0.127576443,0.169167376,-0.050542542,0.414842059,0.000933338,0.52749533
12,0.171449045,0.086026912,0.148357514,0.062980432,0.142068493,0.157754465,0.094970098,-0.086153947,0.366443073,0.084881724,0.469126259
13,0.136631196,0.084243812,0.152869942,0.157408101,0.155591575,0.179192416,0.094217835,-0.125434251,0.406070417,0.117053766,0.437299796
14,0.187164692,0.056669895,0.206283713,0.096138544,0.199184993,0.174881792,0.113765997,-0.192437511,0.371245001,0.102760603,0.493655841
15,0.214964172,0.107528765,0.233751241,0.061725195,0.222883826,0.090335766,0.173814889,-0.143974301,0.387925332,0.117961236,0.492549838
16,0.172820668,0.200095097,0.150159232,0.016111805,0.167831457,0.142077496,0.103383795,-0.102396621,0.338946082,0.097892134,0.416582473
17,0.15469042,0.05848229,0.171964098,0.055369142,0.155378545,0.140300365,0.107285676,-0.069726614,0.340954996,0.068377408,0.449560932
18,0.167059205,0.057698825,0.154085378,0.084376311,0.183683742,0.117604716,0.143303127,-0.075285386,0.38860495,-0.026628492,0.500563377
19,0.180218235,0.087547688,0.195815949,0.138106889,0.194341943,0.1446076,0.123977106,-0.115036403,0.389796138,0.129481035,0.510979012
20,0.195480494,0.080839536,0.191203075,0.054209631,0.193109907,0.096972185,0.170421837,-0.179581187,0.434275765,0.069125097,0.521155851
,,,,,,,,,,,
,0.18,0.08,0.17,0.08,0.18,0.13,0.13,-0.11,0.39,0.06,0.49
