"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"490","SL18-UCONN-S1","SA18-CB-10-FG1","CB","SL18-SF-19-MG2","SF","CB X SF","GOM",3,4,"2",37,"7",3,7.25,0.88,8.238636364,5.73,0.42,500,"1","2019_1","2019","SA18-CB-10-FG1xSL18-SF-19-MG2","CB X SF","ES","0","0"
"475","SL18-UCONN-S10","SL18-LD-10-FG1","LD","SL18-OI-4-MG1","OI","LD X OI","GOM",2,1,"3",53,"9",3,2.58,0.95,2.715789474,8.99,0.23,200,"10","2019_10","2019","SL18-LD-10-FG1xSL18-OI-4-MG1","LD X OI","ES","0","0"
"357","SL18-UCONN-S100","SL18-NL-6-FG1","NL","SL18-OI-11-MG2","OI","NL X OI","GOM",3,4,"4",47,"8",2,1.05,0.94,1.117021277,10.16,0.11,NA,"99","2019_100","2019","SL18-NL-6-FG1xSL18-OI-11-MG2","NL X OI","ES","0","0"
"497","SL18-UCONN-S101","SL18-NL-6-FG1","NL","SL18-OI-14-MG2","OI","NL X OI","GOM",3,4,"1",8,"2",3,5.18,0.9,5.755555556,9.18,0.48,340,"100","2019_101","2019","SL18-NL-6-FG1xSL18-OI-14-MG2","NL X OI","ES","0","0"
"509","SL18-UCONN-S102","SL18-NL-6-FG1","NL","SL18-OI-15-MG1","OI","NL X OI","GOM",3,4,"1",54,"9",3,5.24,0.94,5.574468085,9,0.47,660,"101","2019_102","2019","SL18-NL-6-FG1xSL18-OI-15-MG1","NL X OI","ES","0","0"
"484","SL18-UCONN-S103","SL18-NL-6-FG1","NL","SL18-OI-16-MG1","OI","NL X OI","GOM",3,4,"1",26,"5",3,3.61,0.86,4.197674419,9.49,0.34,560,"102","2019_103","2019","SL18-NL-6-FG1xSL18-OI-16-MG1","NL X OI","ES","0","0"
"503","SL18-UCONN-S104","SL18-NL-6-FG1","NL","SL18-SF-17-MG1","SF","NL X SF","GOM",3,4,"1",30,"5",3,4.4,0.78,5.641025641,9.43,0.41,240,"103","2019_104","2019","SL18-NL-6-FG1xSL18-SF-17-MG1","NL X SF","ES","0","0"
"531","SL18-UCONN-S105","SL18-NL-6-FG1","NL","SL18-SF-19-MG2","SF","NL X SF","GOM",3,4,"1",3,"1",3,4.75,0.95,5,5.59,0.27,620,"104","2019_105","2019","SL18-NL-6-FG1xSL18-SF-19-MG2","NL X SF","ES","0","0"
"512","SL18-UCONN-S11","SL18-LD-10-FG2","LD","SA18-CB-7-MG2","CB","LD X CB","GOM",1,4,"2",36,"6",3,4.7,0.98,4.795918367,8.16,0.38,380,"11","2019_11","2019","SL18-LD-10-FG2xSA18-CB-7-MG2","LD X CB","ES","0","0"
"532","SL18-UCONN-S12","SL18-LD-10-FG2","LD","SL18-NL-3-MG2","NL","LD X NL","GOM",2,1,"2",1,"1",3,0.96,0.79,1.215189873,11.74,0.11,260,"12","2019_12","2019","SL18-LD-10-FG2xSL18-NL-3-MG2","LD X NL","ES","0","0"
"533","SL18-UCONN-S120","SL18-NL-9-FG2","NL","SA18-CB-7-MG1","CB","NL X CB","GOM",2,4,"4",36,"6",3,5.4,0.96,5.625,4.07,0.22,380,"119","2019_120","2019","SL18-NL-9-FG2xSA18-CB-7-MG1","NL X CB","ES","0","0"
"534","SL18-UCONN-S121","SL18-NL-9-FG2","NL","SL18-SF-19-MG1","SF","NL X SF","GOM",2,4,"3",22,"4",3,3,0.84,3.571428571,9.25,0.28,580,"120","2019_121","2019","SL18-NL-9-FG2xSL18-SF-19-MG1","NL X SF","ES","0","0"
"535","SL18-UCONN-S124","SL18-OI-11-FG1","OI","SL18-SF-15-MG2","SF","OI X SF","GOM",2,4,"2",24,"4",3,4.17,0.96,4.34375,5.43,0.23,320,"123","2019_124","2019","SL18-OI-11-FG1xSL18-SF-15-MG2","OI X SF","ES","0","0"
"487","SL18-UCONN-S125","SL18-OI-15-FG1","OI","SA18-CB-2-MG3","CB","OI X CB","GOM",1,4,"2",11,"2",3,3.76,0.67,5.611940299,9.93,0.37,NA,"124","2019_125","2019","SL18-OI-15-FG1xSA18-CB-2-MG3","OI X CB","ES","0","0"
"536","SL18-UCONN-S127","SL18-OI-15-FG1","OI","SL18-NL-5-MG1","NL","OI X NL","GOM",1,4,"1",47,"8",3,1,0.74,1.351351351,9.31,0.09,200,"126","2019_127","2019","SL18-OI-15-FG1xSL18-NL-5-MG1","OI X NL","ES","0","0"
"477","SL18-UCONN-S128","SL18-OI-15-FG1","OI","SL18-SF-15-MG1","SF","OI X SF","GOM",3,4,"1",46,"8",3,4.42,0.92,4.804347826,9.21,0.41,340,"127","2019_128","2019","SL18-OI-15-FG1xSL18-SF-15-MG1","OI X SF","ES","0","0"
"498","SL18-UCONN-S136","SL18-OI-16-FG3","OI","SA18-CB-4-MG3","CB","OI X CB","GOM",2,4,"3",10,"2",3,4.84,0.81,5.975308642,8.75,0.42,480,"135","2019_136","2019","SL18-OI-16-FG3xSA18-CB-4-MG3","OI X CB","ES","0","0"
"358","SL18-UCONN-S137","SL18-OI-16-FG3","OI","SA18-CB-5-MG3","CB","OI X CB","GOM",1,4,"1",50,"9",2,0.55,0.92,0.597826087,12.34,0.07,140,"136","2019_137","2019","SL18-OI-16-FG3xSA18-CB-5-MG3","OI X CB","ES","0","0"
"496","SL18-UCONN-S14","SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","LD X LD","GOM",3,4,"1",27,"5",3,3.27,0.93,3.516129032,9.17,0.3,420,"14","2019_14","2019","SL18-LD-13-FG2xSL18-LD-13-MG2","LD X LD","ES","1","1"
"537","SL18-UCONN-S140","SL18-OI-16-FG3","OI","SL18-LD-3-MG2","LD","OI X LD","GOM",1,1,"1",16,"3",3,2.27,0.96,2.364583333,8.17,0.19,200,"139","2019_140","2019","SL18-OI-16-FG3xSL18-LD-3-MG2","OI X LD","ES","0","0"
"538","SL18-UCONN-S141","SL18-OI-16-FG3","OI","SL18-NL-6-MG1","NL","OI X NL","GOM",1,1,"3",47,"8",3,2.29,0.93,2.462365591,9.33,0.21,140,"140","2019_141","2019","SL18-OI-16-FG3xSL18-NL-6-MG1","OI X NL","ES","0","0"
"450","SL18-UCONN-S142","SL18-OI-16-FG3","OI","SL18-SF-17-MG2","SF","OI X SF","GOM",3,4,"1",11,"2",3,3.8,0.76,5,9.06,0.34,620,"141","2019_142","2019","SL18-OI-16-FG3xSL18-SF-17-MG2","OI X SF","ES","0","0"
"500","SL18-UCONN-S143","SL18-OI-17-FG1","OI","SL18-SF-13-MG2","SF","OI X SF","GOM",3,4,"2",15,"3",3,5.39,0.84,6.416666667,8,0.43,440,"142","2019_143","2019","SL18-OI-17-FG1xSL18-SF-13-MG2","OI X SF","ES","0","0"
"359","SL18-UCONN-S145","SL18-OI-17-FG2","OI","SL18-SF-17-MG2","SF","OI X SF","GOM",1,1,"1",12,"2",2,0.5,0.77,0.649350649,8.31,0.04,40,"143","2019_145","2019","SL18-OI-17-FG2xSL18-SF-17-MG2","OI X SF","ES","0","0"
"495","SL18-UCONN-S146","SL18-OI-18-FG1","OI","SL18-OI-9-MG3","OI","OI X OI","GOM",3,4,"1",4,"1",3,3.93,0.94,4.180851064,8.07,0.32,300,"144","2019_146","2019","SL18-OI-18-FG1xSL18-OI-9-MG3","OI X OI","ES","1","0"
"456","SL18-UCONN-S147","SL18-OI-18-FG2","OI","SA18-CB-7-MG1","CB","OI X CB","GOM",2,1,"2",32,"6",3,3.34,0.97,3.443298969,9.98,0.33,160,"145","2019_147","2019","SL18-OI-18-FG2xSA18-CB-7-MG1","OI X CB","ES","0","0"
