"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Paint2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","CrossLoc","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","AshFreedryWgtPerM","Ash.Free..","densityBlades","Carbon..Celignis.","Hydrogen..Celignis.","Nitrogen..Celignis.","Sulphur..Celignis.","Oxygen..Celignis.","Ash..Celignis.","Ash..WHOI.","Moisture","HHV","LHV","Total.Sugars","Mannuronic","Guluronic","Glucuronic","Mannitol","Fucose","Glucan","Xylan","Mannan","Galactan","B11","Na23","Mg26","Al27","P31","S34","K39","Ca44","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Se78","Rb85","Sr88","Mo98","Cd111","C..UCONN.","N..UCONN.","C.N..UCONN.","Ash","C_N1","C_N_Combine","AshFDwPM","popChk","withinLoc","isSelf"
"464","SL19-UCONN-S10",201,"2020","2020_10","GOM","10","6_9_2020","185",NA,"SL18-OI-11-FG3","OI","SL18-CC-1-MG3","CC","SL18-OI-11-FG3xSL18-CC-1-MG3","OI X CC",3,1,"1",11,"2",3,7.98,0.895,8.92,11.56,1.031543485,0.585205584,56.731063,150,NA,NA,NA,NA,NA,43.27,NA,10.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.95,1.47,16.97,43.27,NA,16.97,0.5849725296,"ES","0","0"
"346","SL19-UCONN-S101",203,"2020","2020_101","GOM","101","6_9_2020","185",NA,"SL18-JS-16-FG3","JS","SL18-NC-10-MG3","NC","SL18-JS-16-FG3xSL18-NC-10-MG3","JS X NC",3,1,"2",48,"8",2,1.59,1.04,1.53,9.56,0.145898646,0.085699549,58.739098,60,NA,NA,NA,NA,NA,41.26,NA,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.8399102,31322.84912,12399.86983,75.63256391,2837.813562,10650.35038,84339.85548,10027.3976,265.3223106,5.642956977,0.096437357,0.693849447,1.642336041,35.19907275,38.81692249,0.053120631,22.24734763,860.5774449,0.30471824,0.526288807,25.05,1.42,17.64,41.26,NA,17.64,0.0859178232,"ES","0","0"
"312","SL19-UCONN-S104",206,"2020","2020_104","GOM","104","6_9_2020","185",NA,"SL18-OI-5-FG5","OI","SA18-CB-7-MG3","CB","SL18-OI-5-FG5xSA18-CB-7-MG3","OI X CB",3,1,"2",51,"9",2,0.52,0.95,0.55,16.92,0.09321362,0.06573172,70.517291,80,NA,NA,NA,NA,NA,29.48,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.67,1.11,25.83,29.48,NA,25.83,0.065625912,"ES","0","0"
"587","SL19-UCONN-S111",214,"2020","2020_111","GOM","111","6_9_2020","185",NA,"SL18-CC-1-FG2","CC","SL18-OI-16-MG1","OI","SL18-CC-1-FG2xSL18-OI-16-MG1","CC X OI",3,1,"2",58,"10",3,3.33,1.03,3.23,14.82,0.478797213,NA,NA,130,NA,NA,NA,NA,NA,NA,44.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.48,NA,NA,0.2657664672,"ES","0","0"
"336","SL19-UCONN-S112",215,"2020","2020_112","GOM","112","6_9_2020","185",NA,"SL18-NC-11-FG1","NC","SL18-NL-2-MG1","NL","SL18-NC-11-FG1xSL18-NL-2-MG1","NC X NL",1,1,"2",59,"10",2,2.17,1.015,2.14,12.94,0.276564855,0.168352829,60.872821,50,NA,NA,NA,NA,NA,39.13,NA,11.19,NA,NA,39.55,11.16,8.36,1.11,9.3,1.05,6.98,0.25,0.45,0.88,137.0222098,30076.08857,12025.78873,92.58150552,2348.479326,10589.56336,72228.6458,10607.65458,327.6401353,4.570340129,0.077480407,0.255446803,1.047968602,31.98669425,29.29625414,0.040903177,21.20533971,1011.395947,0.308193957,0.415867821,NA,NA,NA,39.13,NA,NA,0.1685587692,"ES","0","0"
"434","SL19-UCONN-S113",216,"2020","2020_113","GOM","113","6_9_2020","185",NA,"SL18-CC-5-FG2","CC","SA18-CB-10-MG1","CB","SL18-CC-5-FG2xSA18-CB-10-MG1","CC X CB",3,1,"2",60,"10",3,15.94,1.058,15.06,13.21,1.989688812,1.214283942,61.028837,110,NA,NA,NA,NA,NA,38.97,NA,11.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.74,1.26,19.63,38.97,NA,19.63,1.2141466878,"ES","0","0"
"318","SL19-UCONN-S115",218,"2020","2020_115","GOM","115","6_9_2020","185",NA,"SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","SL18-LD-13-FG2xSL18-LD-13-MG2","LD X LD",1,1,"2",62,"11",2,0.33,0.988,0.33,11.71,0.03920757,0.025722983,65.607184,150,NA,NA,NA,NA,NA,34.39,NA,11.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.13,0.9,29.03,34.39,NA,29.03,0.0253536723,"ES","1","1"
"463","SL19-UCONN-S119",222,"2020","2020_119","GOM","119","6_9_2020","185",NA,"SL18-CC-5-FG3","CC","SL18-OI-14-MG1","OI","SL18-CC-5-FG3xSL18-OI-14-MG1","CC X OI",3,1,"3",3,"1",3,13.58,0.98,13.86,10.79,1.495930496,0.851184602,56.90001,90,NA,NA,NA,NA,NA,43.1,NA,11.51,NA,NA,37.27,10.84,7.9,1.04,8.26,0.96,6.59,0.3,0.53,0.79,166.9169513,26234.61876,10892.6316,169.9941551,2955.105335,9314.726868,114088.3083,10851.71982,172.0936857,4.169728938,0.063407831,0.257162894,1.018234147,41.39797087,33.65853995,0.054601907,34.55998601,815.0790119,0.187930369,0.808983977,24.5,1.36,18.01,43.1,NA,18.01,0.850936086,"ES","0","0"
"344","SL19-UCONN-S12",223,"2020","2020_12","GOM","12","6_9_2020","185",NA,"SL18-CC-11-FG3","CC","SL18-CC-3-MG1","CC","SL18-CC-11-FG3xSL18-CC-3-MG1","CC X CC",3,1,"1",13,"3",2,1.05,0.85,1.24,13.13,0.162226696,0.096125487,59.253803,40,NA,NA,NA,NA,NA,40.75,NA,11.34,NA,NA,34.33,9.47,6.91,1.01,7.04,1.07,7.03,0.28,0.57,0.94,171.2073347,38080.19141,15727.16395,347.2331383,2762.026729,14060.53508,55524.09378,11303.29053,918.3944379,10.69617783,0.192963439,0.825077643,4.378110655,55.07884656,33.39893629,0.072720604,16.69606798,878.5968669,0.281631242,0.855901719,23.13,1.57,14.73,40.75,NA,14.73,0.09646611,"ES","1","0"
"461","SL19-UCONN-S121",225,"2020","2020_121","GOM","121","6_9_2020","185",NA,"SL18-CC-11-FG3","CC","SA18-CB-3-MG3","CB","SL18-CC-11-FG3xSA18-CB-3-MG3","CC X CB",3,1,"3",5,"1",3,17.06,0.98,17.41,10.98,1.912050785,1.093910258,57.21136,740,NA,NA,NA,NA,NA,42.79,NA,12.16,NA,NA,36.43,13.05,8.91,0.9,4.46,0.92,6.39,0.35,0.36,1,140.7563981,27247.41101,11191.87729,48.50681097,3779.634955,8529.008731,113068.3802,10737.55086,218.3846624,4.319651182,0.059567428,0.165508098,1.02930275,31.61671649,48.8486786,0.051875845,29.58715028,919.7122976,0.234376536,0.646447302,23.35,1.7,13.74,42.79,NA,13.74,1.0936366578,"ES","0","0"
"339","SL19-UCONN-S128",232,"2020","2020_128","GOM","128","6_9_2020","185",NA,"SL18-JS-16-FG1","JS","SL18-CC-4-MG11","CC","SL18-JS-16-FG1xSL18-CC-4-MG11","JS X CC",1,1,"3",13,"3",2,0.35,0.99,0.35,10.97,0.038860603,0.023412411,60.247164,80,NA,NA,NA,NA,NA,39.75,NA,11.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.25,1.16,20.91,39.75,NA,20.91,0.0231329875,"ES","0","0"
"588","SL19-UCONN-S130",235,"2020","2020_130","GOM","130","6_9_2020","185",NA,"SL18-CC-11-FG3","CC","SL18-JS-16-MG1","JS","SL18-CC-11-FG3xSL18-JS-16-MG1","CC X JS",3,1,"3",15,"3",3,5.41,1.046,5.17,11.73,0.606503052,NA,NA,110,NA,NA,NA,NA,NA,NA,45.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.46,NA,NA,0.3307529214,"ES","0","0"
"589","SL19-UCONN-S131",236,"2020","2020_131","GOM","131","6_9_2020","185",NA,"SL18-NC-12-FG2","NC","SA18-CB-4-MG3","CB","SL18-NC-12-FG2xSA18-CB-4-MG3","NC X CB",3,1,"3",16,"3",3,1.62,0.81,2,9.64,0.1931936,NA,NA,100,NA,NA,NA,NA,NA,NA,40.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.19,NA,NA,0.11531368,"ES","0","0"
"320","SL19-UCONN-S132",237,"2020","2020_132","GOM","132","6_9_2020","185",NA,"SL18-OD-5-FG1","OD","SL18-CC-8-MG2","CC","SL18-OD-5-FG1xSL18-CC-8-MG2","OD X CC",3,1,"3",17,"3",2,0.58,1.045,0.55,10.65,0.058814816,0.038421441,65.326127,130,NA,NA,NA,NA,NA,34.67,NA,11.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67,1.09,24.47,34.67,NA,24.47,0.0382670475,"ES","0","0"
"379","SL19-UCONN-S133",238,"2020","2020_133","GOM","133","6_9_2020","185",NA,"SL18-CC-1-FG3","CC","SL18-OI-9-MG2","OI","SL18-CC-1-FG3xSL18-OI-9-MG2","CC X OI",1,1,"3",18,"3",2,0.39,1.05,0.37,12.37,0.045545013,NA,NA,100,NA,NA,NA,NA,NA,NA,43.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.97,NA,NA,0.0256443707,"ES","0","0"
"333","SL19-UCONN-S135",240,"2020","2020_135","GOM","135","6_9_2020","185",NA,"SA18-CB-9-FG1","CB","SL18-JS-5-MG3","JS","SA18-CB-9-FG1xSL18-JS-5-MG3","CB X JS",1,1,"3",20,"4",2,0.92,0.89,1.03,11.26,0.116125876,0.072427763,62.370047,30,NA,NA,NA,NA,NA,37.63,NA,11.19,NA,NA,34.11,8.48,6.43,0.81,10.45,0.6,5.93,0.27,0.41,0.73,257.3023859,26120.2465,10968.70517,70.36282441,2448.137477,9128.725022,82294.8646,10634.18763,291.3464122,3.709906491,0.075213756,0.232675944,3.184448909,40.56032107,27.50889705,0.05412103,22.57013613,903.9409334,0.197334694,0.730574833,26.82,1.11,24.16,37.63,NA,24.16,0.0723354786,"ES","0","0"
"380","SL19-UCONN-S137",242,"2020","2020_137","GOM","137","6_9_2020","185",NA,"SL18-CC-5-FG1","CC","SL18-JS-9-MG1","JS","SL18-CC-5-FG1xSL18-JS-9-MG1","CC X JS",1,1,"3",22,"4",2,0.39,0.915,0.42,9.14,0.038572756,NA,NA,20,NA,NA,NA,NA,NA,NA,45.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.04,NA,NA,0.0210980448,"ES","0","0"
"334","SL19-UCONN-S138",243,"2020","2020_138","GOM","138","6_9_2020","185",NA,"SL18-OI-15-FG1","OI","SA18-CB-2-MG3","CB","SL18-OI-15-FG1xSA18-CB-2-MG3","OI X CB",2,1,"3",24,"4",2,0.77,0.94,0.82,8.7,0.071632259,0.04415935,61.647295,80,NA,NA,NA,NA,NA,38.35,NA,11.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.67,1.34,19.16,38.35,NA,19.16,0.04398111,"ES","0","0"
"590","SL19-UCONN-S139",244,"2020","2020_139","GOM","139","6_9_2020","185",NA,"SL18-CC-12-FG3","CC","SL18-OI-15-MG2","OI","SL18-CC-12-FG3xSL18-OI-15-MG2","CC X OI",3,1,"3",25,"5",3,4.37,0.953,4.59,12.35,0.566752741,NA,NA,190,NA,NA,NA,NA,NA,NA,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,NA,NA,0.30383964,"ES","0","0"
