crossID,Year,Crosses,Year,,crossID,Year,Crosses,
SL18-UCONN-S94,2019,SL18-NL-6-FG1xSA18-CB-3-MG3,2019,,SL19-UCONN-S278,2020,SL18-SF-17-FG2xSA18-CB-7-MG3,#N/A
SL18-UCONN-S5,2019,SA18-CB-7-FG1xSL18-LL-9-MG3,2019,,SL19-UCONN-S162,2020,SL18-CC-1-FG1xSL18-OI-16-MG3,#N/A
SL18-UCONN-S143,2019,SL18-OI-17-FG1xSL18-SF-13-MG2,2019,,SL19-UCONN-S121,2020,SL18-CC-11-FG3xSA18-CB-3-MG3,#N/A
SL18-UCONN-S87,2019,SL18-NL-3-FG2xSL18-SF-17-MG2,2019,,SL19-UCONN-S143,2020,SL18-CC-5-FG3xSL18-JS-5-MG2,#N/A
SL18-UCONN-S136,2019,SL18-OI-16-FG3xSA18-CB-4-MG3,2019,,SL19-UCONN-S172,2020,SL18-CC-8-FG2xSL18-JS-5-MG3,#N/A
SL18-UCONN-S157,2019,SL18-OI-18-FG5xSL18-SF-15-MG2,2019,,SL19-UCONN-S210,2020,SL18-NC-10-FG1xSL18-OI-11-MG4,#N/A
SL18-UCONN-S194,2019,SL18-SF-17-FG3xSL18-LD-2-MG1,2019,,SL19-UCONN-S185,2020,SL18-OI-6-FG2xSL18-LD-2-MG2,#N/A
SL18-UCONN-S101,2019,SL18-NL-6-FG1xSL18-OI-14-MG2,2019,,SL19-UCONN-S92,2020,SL18-OI-16-FG2xSL18-OI-18-MG1,#N/A
SL18-UCONN-S76,2019,SL18-NL-2-FG1xSL18-SF-17-MG1,2019,,SL19-UCONN-S160,2020,SL18-CC-3-FG2xSA18-CB-10-MG3,#N/A
SL18-UCONN-S17,2019,SL18-LD-1-FG1xSL18-NL-2-MG2,2019,,SL19-UCONN-S12,2020,SL18-CC-11-FG3xSL18-CC-3-MG1,#N/A
SL18-UCONN-S82,2019,SL18-NL-3-FG1xSA18-CB-7-MG2,2019,,SL19-UCONN-S63,2020,SL18-SF-13-FG2xSA18-CB-2-MG3,#N/A
SL18-UCONN-S128,2019,SL18-OI-15-FG1xSL18-SF-15-MG1,2019,,SL19-UCONN-S135,2020,SA18-CB-9-FG1xSL18-JS-5-MG3,#N/A
SL18-UCONN-S176,2019,SL18-OI-6-FG1xSL18-LD-13-MG2,2019,,SL19-UCONN-S156,2020,SL18-OI-17-FG4xSL18-JS-6-MG2,#N/A
SL18-UCONN-S186,2019,SL18-OI-9-FG1xSL18-LL-9-MG2,2019,,SL19-UCONN-S140,2020,SL18-JS-5-FG1xSL18-LD-2-MG4,#N/A
SL18-UCONN-S159,2019,SL18-OI-18-FG6xSL18-NL-6-MG1,2019,,SL19-UCONN-S346,2020,SL18-TI-4-FG2xSL18-BL-10-MG2,#N/A
Check,2019,SL18-ME-1-FG1xSL18-ME-2-MG2,2019,,SL19-UCONN-S53,2020,SA18-CB-2-FG3xSL18-CC-2-MG5,#N/A
Check,2019,SL18-ME-1-FG1xSL18-ME-1-MG1,2019,,SL19-UCONN-S336,2020,SL18-TI-4-FG3xSL18-FW-2-MG2,#N/A
SL18-UCONN-S1,2019,SA18-CB-10-FG1xSL18-SF-19-MG2,2019,,SL19-UCONN-S358,2020,SL18-PI-1-FG3xSL18-TI-2-MG6,#N/A
SL18-UCONN-S10,2019,SL18-LD-10-FG1xSL18-OI-4-MG1,2019,,SL19-UCONN-S141,2020,SL18-OD-5-FG3xSA18-CB-1-MG12,#N/A
SL18-UCONN-S100,2019,SL18-NL-6-FG1xSL18-OI-11-MG2,2019,,SL19-UCONN-S144,2020,SL18-SF-13-FG1xSA18-CB-7-MG1,#N/A
SL18-UCONN-S102,2019,SL18-NL-6-FG1xSL18-OI-15-MG1,2019,,SL19-UCONN-S176,2020,SL18-OI-6-FG2xSA18-CB-4-MG2,#N/A
