"","x"
"1","SA18-CB-10-FG1xSL18-SF-19-MG2"
"2","SL18-LD-10-FG1xSL18-OI-4-MG1"
"3","SL18-NL-6-FG1xSL18-OI-11-MG2"
"4","SL18-NL-6-FG1xSL18-OI-14-MG2"
"5","SL18-NL-6-FG1xSL18-OI-15-MG1"
"6","SL18-NL-6-FG1xSL18-OI-16-MG1"
"7","SL18-NL-6-FG1xSL18-SF-17-MG1"
"8","SL18-NL-6-FG1xSL18-SF-19-MG2"
"9","SL18-LD-10-FG2xSA18-CB-7-MG2"
"10","SL18-LD-10-FG2xSL18-NL-3-MG2"
"11","SL18-NL-9-FG2xSA18-CB-7-MG1"
"12","SL18-NL-9-FG2xSL18-SF-19-MG1"
"13","SL18-OI-11-FG1xSL18-SF-15-MG2"
"14","SL18-OI-15-FG1xSA18-CB-2-MG3"
"15","SL18-OI-15-FG1xSL18-NL-5-MG1"
"16","SL18-OI-15-FG1xSL18-SF-15-MG1"
"17","SL18-OI-16-FG3xSA18-CB-4-MG3"
"18","SL18-OI-16-FG3xSA18-CB-5-MG3"
"19","SL18-LD-13-FG2xSL18-LD-13-MG2"
"20","SL18-OI-16-FG3xSL18-LD-3-MG2"
"21","SL18-OI-16-FG3xSL18-NL-6-MG1"
"22","SL18-OI-16-FG3xSL18-SF-17-MG2"
"23","SL18-OI-17-FG1xSL18-SF-13-MG2"
"24","SL18-OI-17-FG2xSL18-SF-17-MG2"
"25","SL18-OI-18-FG1xSL18-OI-9-MG3"
"26","SL18-OI-18-FG2xSA18-CB-7-MG1"
"27","SL18-OI-18-FG2xSL18-LD-10-MG1"
"28","SL18-OI-18-FG2xSL18-LD-9-MG1"
"29","SL18-OI-18-FG2xSL18-NL-2-MG2"
"30","SL18-OI-18-FG2xSL18-LD-2-MG3"
"31","SL18-OI-18-FG3xSL18-LL-9-MG1"
"32","SL18-OI-18-FG3xSL18-OI-7-MG1"
"33","SL18-OI-18-FG5xSA18-CB-4-MG3"
"34","SL18-OI-18-FG5xSL18-LD-2-MG1"
"35","SL18-OI-18-FG5xSL18-SF-15-MG2"
"36","SL18-OI-18-FG6xSA18-CB-1-MG2"
"37","SL18-OI-18-FG6xSL18-NL-6-MG1"
"38","SL18-OI-2-FG2xSL18-LD-1-MG2"
"39","SL18-LD-1-FG1xSL18-NL-2-MG2"
"40","SL18-OI-2-FG3xSL18-NL-9-MG1"
"41","SL18-OI-2-FG3xSL18-SF-17-MG1"
"42","SL18-OI-6-FG1xSA18-CB-2-MG1"
"43","SL18-OI-6-FG1xSA18-CB-4-MG1"
"44","SL18-OI-6-FG1xSL18-LD-13-MG2"
"45","SL18-OI-6-FG1xSL18-LD-2-MG1"
"46","SL18-OI-6-FG1xSL18-LD-5-MG1"
"47","SL18-LD-1-FG1xSL18-OI-18-MG1"
"48","SL18-OI-6-FG1xSL18-NL-9-MG1"
"49","SL18-OI-6-FG1xSL18-SF-15-MG1"
"50","SL18-OI-6-FG1xSL18-SF-19-MG1"
"51","SL18-OI-7-FG3xSA18-CB-2-MG3"
"52","SL18-OI-9-FG1xSL18-LL-9-MG2"
"53","SL18-SF-13-FG1xSL18-LL-9-MG3"
"54","SL18-LD-1-FG2xSA18-CB-4-MG3"
"55","SL18-SF-17-FG1xSL18-LL-9-MG1"
"56","SL18-SF-17-FG3xSA18-CB-10-MG1"
"57","SL18-SF-17-FG3xSA18-CB-3-MG3"
"58","SL18-SF-17-FG3xSL18-LD-2-MG1"
"59","SL18-SF-17-FG3xSL18-NL-10-MG2"
"60","SL18-SF-17-FG3xSL18-NL-2-MG3"
"61","SL18-SF-17-FG3xSL18-NL-9-MG1"
"62","SL18-SF-17-FG3xSL18-OI-7-MG1"
"63","SL18-SF-17-FG3xSL18-OI-9-MG3"
"64","SA18-CB-10-FG2xSL18-LL-9-MG1"
"65","SL18-LD-1-FG2xSL18-SF-13-MG3"
"66","SL18-LD-1-FG2xSL18-SF-15-MG1"
"67","SL18-LD-1-FG3xSL18-NL-5-MG1"
"68","SL18-LD-1-FG3xSL18-OI-11-MG2"
"69","SL18-LD-1-FG3xSL18-OI-15-MG1"
"70","SL18-LD-1-FG3xSL18-OI-16-MG1"
"71","SL18-LD-1-FG3xSL18-OI-6-MG2"
"72","SL18-LD-1-FG3xSL18-OI-7-MG1"
"73","SL18-LD-1-FG3xSL18-OI-9-MG3"
"74","SA18-CB-4-FG3xSA18-CB-4-MG3"
"75","SL18-LD-1-FG3xSL18-NL-9-MG2"
"76","SL18-LD-1-FG3xSL18-OI-15-MG2"
"77","SL18-LD-2-FG2xSA18-CB-3-MG3"
"78","SL18-LD-2-FG2xSL18-LL-9-MG2"
"79","SL18-LD-2-FG2xSL18-NL-9-MG1"
"80","SL18-LD-2-FG2xSL18-SF-19-MG1"
"81","SL18-LD-3-FG1xSL18-NL-9-MG1"
"82","SL18-LD-3-FG1xSL18-SF-19-MG2"
"83","SL18-LD-3-FG2xSA18-CB-2-MG3"
"84","SL18-LD-3-FG2xSL18-LL-9-MG2"
"85","SL18-LD-3-FG2xSL18-SF-17-MG3"
"86","SL18-LD-4-FG1xSA18-CB-2-MG1"
"87","SL18-LD-4-FG1xSL18-NL-3-MG2"
"88","SL18-LD-4-FG2xSL18-LL-9-MG1"
"89","SL18-LD-4-FG2xSL18-SF-15-MG2"
"90","SL18-LD-4-FG3xSL18-SF-17-MG1"
"91","SL18-LD-5-FG1xSA18-CB-10-MG1"
"92","SA18-CB-7-FG1xSL18-LL-9-MG3"
"93","SL18-LD-9-FG2xSL18-SF-13-MG3"
"94","SL18-LD-9-FG3xSL18-NL-7-MG1"
"95","SL18-LD-9-FG3xSL18-SF-17-MG1"
"96","SL18-LL-9-FG3xSL18-NL-9-MG1"
"97","SL18-NL-10-FG1xSA18-CB-4-MG3"
"98","SL18-NL-10-FG1xSL18-LD-2-MG1"
"99","SL18-LD-10-FG1xSA18-CB-1-MG2"
"100","SL18-NL-10-FG1xSL18-OI-15-MG1"
"101","SL18-NL-10-FG1xSL18-OI-7-MG1"
"102","SL18-NL-10-FG1xSL18-SF-13-MG1"
"103","SL18-NL-10-FG3xSL18-NL-3-MG2"
"104","SL18-NL-2-FG1xSA18-CB-1-MG2"
"105","SL18-NL-2-FG1xSL18-LD-13-MG2"
"106","SL18-NL-2-FG1xSL18-SF-17-MG1"
"107","SL18-NL-2-FG3xSA18-CB-2-MG3"
"108","SL18-NL-2-FG3xSA18-CB-4-MG1"
"109","SL18-NL-2-FG3xSL18-LD-3-MG2"
"110","SL18-NL-2-FG3xSL18-OI-16-MG1"
"111","SL18-NL-3-FG1xSA18-CB-7-MG2"
"112","SL18-NL-3-FG1xSL18-OI-11-MG2"
"113","SL18-NL-3-FG1xSL18-SF-13-MG2"
"114","SL18-NL-3-FG2xSL18-SF-17-MG2"
"115","SL18-NL-3-FG3xSA18-CB-2-MG2"
"116","SL18-LD-10-FG1xSL18-OI-18-MG1"
"117","SL18-NL-6-FG1xSA18-CB-3-MG3"
"118","SL18-NL-6-FG1xSA18-CB-7-MG2"
"119","SL18-NL-6-FG1xSL18-LD-1-MG2"
"120","SL18-NL-6-FG1xSL18-LD-2-MG1"
"121","SL18-NL-6-FG1xSL18-LD-3-MG2"
"122","SL18-NL-6-FG1xSL18-NL-2-MG1"
"123","SL18-OI-11-FG3xSL18-CC-1-MG3"
"124","SL18-JS-16-FG3xSL18-NC-10-MG3"
"125","SL18-OI-5-FG5xSA18-CB-7-MG3"
"126","SL18-CC-1-FG2xSL18-OI-16-MG1"
